anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2018,5,1996,LABORATORIO BALLERINA LIMITADA,92405000-4,LABORATORIO BALLERINA LTDA,"Industria química, de plástico y caucho",,"Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador",C2023,"Fabricación de jabones y detergentes, preparados para limpiar, perfumes y preparados de tocador",C202300,Metropolitana de Santiago,Santiago,Cerrillos,13102,-33.48440603,-70.70046725,Generador Industrial,,,1.02,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,Envases mezclados,Envases mezclados,15.0,"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1.0,Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,11,5469135,CLINICA MEDS LA DEHESA SPA,76336039-3,CLINICA MEDS LA DEHESA,Otras actividades,,Actividades de hospitales públicos y privados,Q8610,Actividades de hospitales y clínicas privadas,Q861020,Metropolitana de Santiago,Santiago,Lo Barnechea,13115,-33.35558974,-70.53510583,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,11,5401330,FUND INSTITUTO PROFESIONAL DUOC UC,72754700-2,SEDE SAN JOAQUIN,Otras actividades,,Enseñanza superior en universidades,P8531,Enseñanza superior en universidades públicas,P853110,Metropolitana de Santiago,Santiago,Macul,13118,-33.49991455,-70.61646552,Generador Industrial,,,1.02,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,Otras fracciones no especificadas en otra categoría,Otras fracciones no especificadas en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,10,362154,SUPERMERCADOS MONTSERRAT S.A.C.,93307000-K,SUPERMERCADO MONTSERRAT,Comercio mayorista,,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G4651,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G465100,Metropolitana de Santiago,Santiago,Macul,13118,-33.48703218,-70.59942555,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,1,386069,QUIMICA HEWSTONE S A,77502100-4,QUIMICA HEWSTONE,"Industria química, de plástico y caucho",,"Fabricación de pinturas, barnices y productos de revestimiento similares, tintas de imprenta y masillas",C2022,"Fabricación de pinturas, barnices y productos de revestimiento, tintas de imprenta y masillas",C202200,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.53620751,-70.70428092,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,10,322780,SUPERMERCADOS MONTSERRAT S.A.C.,93307000-K,SUPERMERCADO MONTSERRAT,Comercio mayorista,,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G4651,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G465100,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.431498,-70.69245404,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,3,322780,SUPERMERCADOS MONTSERRAT S.A.C.,93307000-K,SUPERMERCADO MONTSERRAT,Comercio mayorista,,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G4651,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G465100,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.431498,-70.69245404,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,1,322780,SUPERMERCADOS MONTSERRAT S.A.C.,93307000-K,SUPERMERCADO MONTSERRAT,Comercio mayorista,,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G4651,"Venta al por mayor de computadores, equipo periférico y programas informáticos",G465100,Metropolitana de Santiago,Santiago,Quinta Normal,13126,-33.431498,-70.69245404,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,10,319468,CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.,80186300-0,PLANTA 2 CIAL,Otras industrias manufactureras,,Elaboración y conservación de carne,C1010,Elaboración y conservación de carne y productos cárnicos,C101020,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.37102023,-70.70836043,Generador Industrial,,,1.02,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Otras fracciones no especificadas en otra categoría,Otras fracciones no especificadas en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,gi-sinader-2018-ckan.xlsx,False
2018,4,5453680,CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.,80186300-0,CENTRO DE DISTRIBUCIÓN CIAL,Otras industrias manufactureras,,Elaboración y conservación de carne,C1010,Elaboración y conservación de carne y productos cárnicos,C101020,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.39019189,-70.76513226,Generador Industrial,,,1.02,2,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,gi-sinader-2018-ckan.xlsx,False
