anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2019,0,5465602,INDUSTRIAL Y COMERCIAL STO CHILE LIMITADA,77352960-4,STO CHILE,Otras industrias manufactureras,,Otras industrias manufactureras n.c.p.,C3290,Otras industrias manufactureras n.c.p.,C329000,Metropolitana de Santiago,Santiago,Renca,13128.0,-33.4053676,-70.7493431,Generador Industrial,,,9.1,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,3626907,HIPERMERCADOS TOTTUS SA,78627210-6,AV.LIB.BERNARDO O HIGGINS 1150 S.FELIPE,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Valparaíso,San Felipe de Aconcagua,San Felipe,5701.0,-32.7551114,-70.7259905,Generador Industrial,,,9.1,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),40.0,Pretratamiento de aceites y grasas comestibles,Aceites y grasas comestibles,Aceites y grasas comestibles,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5459970.0,MAIPU- BIOILS,BIOILS SPA,Maipú,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,15752,CLAUDIO CASANOVA GARCES PRESTACIONES DE SERVICIOS E I R L,52003786-1,PLANTA RAHUE ALTO,Gestores de residuos,,Recuperación de materiales,E3830,Recuperación y reciclamiento de otros desperdicios y desechos n.c.p.,E383009,Los Lagos,Osorno,Osorno,10301.0,-40.5806613,-73.1612001,Generador Industrial,,,9.1,2,Valorización,8.0,Reciclaje,18.0,Reciclaje de plásticos,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5462374.0,PLASTICOS  DEL  SUR  SPA,PLASTICOS DEL SUR SPA,Dalcahue,Los Lagos,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,2486,NESTLE CHILE SA,90703000-8,NESTLE CHILE S.A FÁBRICA MAIPU,Otras industrias manufactureras,,"Elaboración de cacao, chocolate y de productos de confitería",C1073,"Elaboración de cacao, chocolate y de productos de confitería",C107300,Metropolitana de Santiago,Santiago,Maipú,13119.0,-33.5351316,-70.7681378,Generador Industrial,,,9.09,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),322349.0,PLANTA RECUPERADORA POLIETILENO,CAMBIASO HNOS S A C,Valparaíso,Valparaíso,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5465782,MEL ALIMENTOS SPA,76415505-K,ESMERALDA,Otras industrias manufactureras,,Elaboración de otros productos alimenticios n.c.p.,C1079,Elaboración de otros productos alimenticios n.c.p.,C107909,Metropolitana de Santiago,Chacabuco,Colina,13301.0,-33.181367,-70.665545,Generador Industrial,,,9.09,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Otras fracciones no especificadas en otra categoría,Otras fracciones no especificadas en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,2442,ENVASES IMPRESOS SPA,89201400-0,PLANTA BUIN,Industria del papel y celulosa,,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C170200,Metropolitana de Santiago,Maipo,Buin,13402.0,-33.7342838,-70.7264827,Generador Industrial,,,9.09,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),36.0,"Pretratamiento de papel, cartón y productos de papel",Residuos procedentes de la clasificación de papel y cartón destinados al reciclado,Residuos procedentes de la clasificación de papel y cartón destinados al reciclado,3.0,"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3.0,"Residuos de la producción y transformación de pasta de papel, papel y cartón",5458853.0,SOREPA PUDAHUEL,SOC RECUPERADORA DE PAPEL SPA,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,1963168,SOC INDUSTRIAL ROMERAL S A,86113000-2,"SOCIEDAD INDUSTRIAL ROMERAL S.A., PLANTA SANTA ROSA",Otras industrias manufactureras,,"Fabricación de artículos de hormigón, cemento y yeso",C2395,"Fabricación de artículos de hormigón, cemento y yeso",C239500,Metropolitana de Santiago,Cordillera,Puente Alto,13201.0,-33.6395583,-70.6303698,Generador Industrial,,,9.09,1,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,Materiales de construcción a base de yeso distintos de los especificados en el código 17 08 01,Materiales de construcción a base de yeso distintos de los especificados en el código 17 08 01,17.0,Residuos de la construcción y demolición,8.0,Materiales de construcción a base de yeso,5464363.0,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,REGENERADORA DE MATERIALES DE CONSTRUCCION S A,Puente Alto,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,2246024,SOCOFAR S.A.,91575000-1,SOCOFAR SA,Otras actividades,,Almacenamiento y depósito,H5210,Otros servicios de almacenamiento y depósito n.c.p.,H521009,Metropolitana de Santiago,Santiago,Macul,13118.0,-33.4826688,-70.6208266,Generador Industrial,,,9.084,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5955.0,BRAVO ENERGY CHILE SA,BRAVO ENERGY CHILE S A,Maipú,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5476353,MAESTRANZA ACUNA SPA,76362331-9,MAESTRANZA ACUÑA SPA,Otras industrias manufactureras,,Fabricación de productos metálicos para uso estructural,C2511,Fabricación de productos metálicos para uso estructural,C251100,Metropolitana de Santiago,Talagante,Peñaflor,13605.0,-33.6170222,-70.8579759,Generador Industrial,,,9.08,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),44.0,Pretratamiento de Metales ,Hierro y acero no galvanizados,Hierro y acero no galvanizados,17.0,Residuos de la construcción y demolición,4.0,Metales (incluidas sus aleaciones),5465033.0,RECICLAJES FAREX SPA,RECICLAJES FAREX SPA,Cerrillos,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5473438,AGRICOLA LOS ACACIOS LTDA,76215600-8,SOCIEDAD AGRICOLA LOS ACACIOS LTDA,Producción agropecuaria,,Cultivo de uva,A0121,Cultivo de uva para mesa,A012120,Metropolitana de Santiago,Maipo,Buin,13402.0,-33.7750277,-70.7964519,Generador Industrial,,,9.08,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
