anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2017,0,5461655,COMERCIAL ROMERELLI LIMITADA,96904060-3,COMERCIAL ROMERELLI LTDA,Gestores de residuos,,Recuperación de materiales,E3830,Recuperación y reciclamiento de desperdicios y desechos metálicos,E383001,Metropolitana de Santiago,Santiago,Estación Central,13106,-33.46659032,-70.69094092,Generador Industrial,,,41.84,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Residuos de la extracción de minerales metálicos,Residuos de la extracción de minerales metálicos,1.0,"Residuos de la prospección, extracción de minas y canteras y tratamientos físicos y químicos de minerales",1.0,Residuos de la extracción de minerales,3804.0,MAGOTTEAUX ANDINO S.A.,MAGOTTEAUX ANDINO S.A.,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5468987,EKONO LIMITADA,76473580-3,EKONO SANTA ISABEL   JOSE MANUEL INFANTE,Comercio minorista,,Venta al por menor de alimentos en comercios especializados,G4721,Venta al por menor de alimentos en comercios especializados (almacenes pequeños y minimarket),G472101,Metropolitana de Santiago,Santiago,Providencia,13123,-33.44515792,-70.61974114,Generador Industrial,,,15.64,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),88827.0,RECUPAC S A,RECUPAC S A,Huechuraba,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,4586746,SOUTHERN BREWING COMPANY S A,99527300-4,SOUTHERN BREWING COMPANY S.A.,Otras industrias manufactureras,,Elaboración de bebidas malteadas y de malta,C1103,Elaboración de bebidas malteadas y de malta,C110300,Metropolitana de Santiago,Melipilla,Curacaví,13503,-33.31405918,-71.12404937,Generador Industrial,,,16.49,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,78709.0,RELLENO SANITARIO SANTIAGO PONIENTE,VEOLIA SU CHILE SA,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,11389,PRODUCTOS FERNANDEZ SA,91004000-6,PRODUCTOS FERNANDEZ S.A. PLANTA 1,Otras industrias manufactureras,,Elaboración y conservación de carne,C1010,Elaboración y conservación de carne y productos cárnicos,C101020,Maule,Talca,Talca,7101,-35.42432558,-71.64996374,Generador Industrial,,,18.43,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5460733.0,GREENDOT,GREENDOT SPA,Buin,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5453237,AGRICOLA SUPER LIMITADA,88680500-4,GRUPO REPRODUCTOR DE CERDOS GRUPO 18,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Metropolitana de Santiago,Melipilla,San Pedro,13505,-33.96223123,-71.28164189,Generador Industrial,,,0.77,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Limaduras y virutas de metales férreos,Limaduras y virutas de metales férreos,12.0,Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos,1.0,Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos,4989.0,PLANTA COLINA,GERDAU AZA S A,Renca,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5472425,HIPERMERCADOS TOTTUS SA,78627210-6,TOTTUS PIEDRA ROJA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Chacabuco,Colina,13301,-33.27944748,-70.62779676,Generador Industrial,,,0.0,2.0,Valorización,7.0,Preparación para reutilización,,,Aceites y grasas comestibles,Aceites y grasas comestibles,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5459970.0,BIOILS SPA,BIOILS SPA,Maipú,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5467524,ARCE,12827571-1,BEATRIZ ARCE ESPINOZA,Ventas y mantención de vehículos automotores,,"Venta de partes, piezas y accesorios para vehículos automotores",G4530,"Venta de partes, piezas y accesorios para vehículos automotores",G453000,Valparaíso,Los Andes,Los Andes,5301,-32.85903456,-70.63139975,Generador Industrial,,,7.73,1.0,Eliminación,48.0,Pretratamiento,49.0,Residuos Voluminosos,Neumáticos fuera de uso,Neumáticos fuera de uso,16.0,Residuos no especificados en otro capítulo de la lista,1.0,"Vehículos de diferentes medios de transporte (incluidas las máquinas no de carretera) al final de su vida útil y residuos del desguace de vehículos al final de su vida útil y del mantenimiento de vehículos (excepto los de los capítulos 13, 14 y los subcapítulos 16 06 y 16 08)",5461908.0,POLAMBIENTE SA,POLAMBIENTE S.A.,Lampa,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5453263,AGRICOLA SUPER LIMITADA,88680500-4,LA LIGUANA,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Metropolitana de Santiago,Melipilla,San Pedro,13505,-33.977033,-71.65131349,Generador Industrial,,,1.82,2.0,Valorización,,,,,Envases de plástico,Envases de plástico,15.0,"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1.0,Envases (incluidos los residuos de envases de la recogida selectiva municipal),,,INVERPLAST EIRL,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5453263,AGRICOLA SUPER LIMITADA,88680500-4,LA LIGUANA,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Metropolitana de Santiago,Melipilla,San Pedro,13505,-33.977033,-71.65131349,Generador Industrial,,,4.24,2.0,Valorización,,,,,"Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan","Heces de animales, orina y estiércol (incluida paja podrida) y efluentes recogidos selectivamente y tratados fuera del lugar donde se generan",2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",, MENOR 12 DE TONELADAS ANUALES, MENOR 12 DE TONELADAS ANUALES,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5471622,NESTLE CHILE SA,90703000-8,CD ANTOFAGASTA,Otras industrias manufactureras,,Elaboración de productos lácteos,C1050,Elaboración de productos lácteos,C105000,Antofagasta,Antofagasta,Antofagasta,2101,-23.59373016,-70.38932189,Generador Industrial,,,29.43,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Materiales inadecuados para el consumo o la elaboración,Materiales inadecuados para el consumo o la elaboración,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",5.0,Residuos de la industria de productos lácteos,5461531.0,KOPPMANN MEDIO AMBIENTE,KOPPMANN MEDIO AMBIENTE LIMITADA,Ñuñoa,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
