anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2017,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,1.0,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición ,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,OSCAR ROMAN GALLARDO,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,7.0,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición ,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,CARLOS ARANEDA DIAZ,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,7805,KEYLOGISTICS CHILE S A,96930440-6,KEY LOGISTICS CHILE S.A.,Otras actividades,,Transporte de carga por carretera,H4923,Transporte de carga por carretera,H492300,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.53936541,-70.69694462,Generador Industrial,,,0.5,2.0,Valorización,,,,,Residuos de plástico,Residuos de plástico,7.0,Residuos de procesos químicos orgánicos,2.0,"Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales",,,INDUSTRIAS DE ENVASES TYPACK S.A.,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5443074,SISTEMA DE TRANSMISION DEL SUR S.A.,77683400-9,BODEGA RESIDUOS PELIGROSOS BARRO BLANCO,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Los Lagos,Osorno,Osorno,10301,-40.57950409,-73.0888199,Generador Industrial,,,20.0,2.0,Valorización,7.0,Preparación para reutilización,,,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición ,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,COMERCIAL SERVIELÉCTRICA LTDA,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5440662,MARSANO,3143727-K,MATADERO,Producción agropecuaria,,Actividades de apoyo a la agricultura,A0161,Actividades de apoyo a la agricultura,A016100,Ñuble,Itata,Coelemu,16203,-36.48329718,-72.69999658,Generador Industrial,,,3.0,1.0,Eliminación,,,,,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,, MENOR 12 DE TONELADAS ANUALES, MENOR 12 DE TONELADAS ANUALES,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5466543,READY MIX HORMIGONES LIMITADA,87580800-1,READY MIX PLANTA SAN BERNARDO,Construcción,,Construcción de edificios para uso residencial y no residencial,F4100,Construcción de edificios para uso residencial,F410010,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.555575,-70.69532282,Generador Industrial,,,40.0,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición ,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",,,PROYECTO E INGENERÍA RINCONADA DE MAIPU,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,5466856,READY MIX HORMIGONES LIMITADA,87580800-1,READY MIX PLANTA LINARES,Construcción,,Construcción de edificios para uso residencial y no residencial,F4100,Construcción de edificios para uso residencial,F410010,Maule,Linares,Longaví,7403,-35.91338331,-71.65388982,Generador Industrial,,,10.48,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Hormigón,Hormigón,17.0,Residuos de la construcción y demolición ,1.0,"Hormigón, ladrillos, tejas y materiales cerámicos",4587897.0,CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE,ECOMAULE S A,Curicó,Maule,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5453185,AGRICOLA SUPER LIMITADA,88680500-4,GRUPO REPRODUCTOR DE CERDOS GRUPO 17,Producción agropecuaria,,Cría de camellos y otros camélidos,A0143,"Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",A014300,Metropolitana de Santiago,Melipilla,San Pedro,13505,-33.96913309,-71.29013716,Generador Industrial,,,84.22,2.0,Valorización,7.0,Preparación para reutilización,,,Residuos de tejidos de animales,Residuos de tejidos de animales,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",,,SOCIEDAD IMPORTADORA Y EXPORTADORA PROEX LTDA.,,,,gi-sinader-2017-ckan.xlsx,False
2017,0,860343,TRANSPORTES CCU LTDA,79862750-3,TCCU QUILICURA,Otras actividades,,Transporte de carga por carretera,H4923,Transporte de carga por carretera,H492300,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36041873,-70.70347832,Generador Industrial,,,254.36,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,San Bernardo,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
2017,0,5442604,TRANSPORTES CCU LTDA,79862750-3,TCCU TALCA,Otras actividades,,Transporte de carga por carretera,H4923,Transporte de carga por carretera,H492300,Maule,Talca,Talca,7101,-35.4302793,-71.6365801,Generador Industrial,,,20.72,1.0,Eliminación,48.0,Pretratamiento,,,Plásticos,Plásticos,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5459962.0,PLANTA ENFAENA,ENFAENA S.A.,Las Condes,Metropolitana de Santiago,Chile,gi-sinader-2017-ckan.xlsx,False
