anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2023,0,5464931,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER PUERTO MONTT CARDONAL,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Los Lagos,Llanquihue,Puerto Montt,10101,-41.47065723,-72.9657645,Generador Industrial,,,200.1,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),36.0,"Pretratamiento de papel, cartón y productos de papel",15 01 01 | Envases de papel y cartón,15 01 01 | Envases de papel y cartón,,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5462064.0,SOREPA PUERTO MONTT,SOC RECUPERADORA DE PAPEL SPA,Puerto Montt,Los Lagos,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246063,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  PUNTA  ARENAS,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,12101,-53.13099828,-70.90865621,Generador Industrial,,,3.664,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,15 01 02 | Envases de plástico,15 01 02 | Envases de plástico,,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5462064.0,SOREPA PUERTO MONTT,SOC RECUPERADORA DE PAPEL SPA,Puerto Montt,Los Lagos,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246063,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  PUNTA  ARENAS,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,12101,-53.13099828,-70.90865621,Generador Industrial,,,109.65,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 07 | Residuos voluminosos (incluidos muebles),20 03 07 | Residuos voluminosos (incluidos muebles),,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,911618.0,ILUSTRE MUNICIPALIDAD DE PUNTA ARENAS,I MUNICIPALIDAD DE PUNTA ARENAS,Punta Arenas,Magallanes y de la Antártica Chilena,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246063,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  PUNTA  ARENAS,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,12101,-53.13099828,-70.90865621,Generador Industrial,,,240.044,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),36.0,"Pretratamiento de papel, cartón y productos de papel",15 01 01 | Envases de papel y cartón,15 01 01 | Envases de papel y cartón,,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5462064.0,SOREPA PUERTO MONTT,SOC RECUPERADORA DE PAPEL SPA,Puerto Montt,Los Lagos,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246274,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  QUILICURA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36022525,-70.72985793,Generador Industrial,,,0.95,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),44.0,Pretratamiento de Metales ,20 01 40 | Metales,20 01 40 | Metales,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),319510.0,BASE ECOCLEAN QUILICURA,ECOCLEAN S A,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246274,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  QUILICURA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36022525,-70.72985793,Generador Industrial,,,1.14,2,Valorización,8.0,Reciclaje,80.0,Reciclaje de aceites y grasas comestibles,20 01 25 | Aceites y grasas comestibles,20 01 25 | Aceites y grasas comestibles,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5474106.0,LAMPA BIOILS,INVERSIONES TRIO SPA,Lampa,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246274,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  QUILICURA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36022525,-70.72985793,Generador Industrial,,,1.27,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 01 | Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246274,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  QUILICURA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36022525,-70.72985793,Generador Industrial,,,15.7,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,20 03 99 | Residuos municipales no especificados en otra categoría,20 03 99 | Residuos municipales no especificados en otra categoría,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,5461926.0,PLANTA DE TRATAMIENTOS DE RILES RILSA LTDA,PLANTA DE TRATAMIENTO DE RILES RILSA SPA,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246274,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  QUILICURA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36022525,-70.72985793,Generador Industrial,,,29.31,5,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,15 01 02 | Envases de plástico,15 01 02 | Envases de plástico,,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5458853.0,SOREPA PUDAHUEL,SOC RECUPERADORA DE PAPEL SPA,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
2023,0,246274,ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,76134941-4,LIDER  QUILICURA,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.36022525,-70.72985793,Generador Industrial,,,327.91,1,Eliminación,48.0,Pretratamiento,,,20 03 01 | Mezclas de residuos municipales,20 03 01 | Mezclas de residuos municipales,,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",,03 | Otros residuos municipales,3921963.0,ESTACIÓN DE TRANSFERENCIA QUILICURA,K D M  S.A.,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2023-ckan.xlsx,False
