anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2020,0,6735,COCA COLA EMBONOR S A,93281000-K,PLANTA CONCON,Otras industrias manufactureras,,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,C1104,Elaboración de bebidas no alcohólicas,C110401,Valparaíso,Valparaíso,Concón,5103,-32.93156764,-71.4678129,Generador Industrial,,,14.556,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Metales,Metales,20,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),4989.0,PLANTA COLINA,ACEROS AZA S.A.,Colina,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,320043,ITF-LABOMED FARMACEUTICA LIMITADA,96884770-8,ITF LABOMED FARMACEUTICA LIMITADA,Otras industrias manufactureras,,Otras industrias manufactureras n.c.p.,C3290,Otras industrias manufactureras n.c.p.,C329000,Metropolitana de Santiago,Chacabuco,Lampa,13302,-33.27579525,-70.74219072,Generador Industrial,,,14.555,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),36.0,"Pretratamiento de papel, cartón y productos de papel",Envases de papel y cartón,Envases de papel y cartón,15,"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,Envases (incluidos los residuos de envases de la recogida selectiva municipal),5458853.0,SOREPA PUDAHUEL,SOC RECUPERADORA DE PAPEL SPA,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5906,ARCOS DORADOS RESTAURANTES DE CHILE LIMITADA,96620260-2,MACUL,Otras actividades,,Actividades de restaurantes y de servicio móvil de comidas,I5610,Actividades de restaurantes y de servicio móvil de comidas,I561000,Metropolitana de Santiago,Santiago,Ñuñoa,13120,-33.46410463,-70.59826181,Generador Industrial,,,14.554,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",Aceites y grasas comestibles,Aceites y grasas comestibles,20,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5464995.0,COMERCIAL RIO ACONCAGUA SPA,COMERCIAL RIO ACONCAGUA SPA,Quilicura,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,19534,FUND EDUCACIONAL COLEGIO SANTA CRUZ DE TEMUCO,65174060-6,FUNDACION EDUCACIONAL COLEGIO STA. CRUZ TEMUCO,Otras actividades,,"Enseñanza preescolar, primaria, secundaria científico humanista y técnico profesional pública y privada",P8500,"Enseñanza primaria, secundaria científico humanista y técnico profesional pública",P850012,La Araucanía,Cautín,Temuco,9101,-38.72518037,-72.63124063,Generador Industrial,,,14.522,1.0,Eliminación,48.0,Pretratamiento,56.0,Residuos municipales asimilables a domiciliarios,Mezclas de residuos municipales,Mezclas de residuos municipales,20,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,Otros residuos municipales,5482128.0,PLANTA DE TRATAMIENTO DE RESIDUOS DOMICILIARIOS LAUTARO,GESTION ECOLOGICA DE RESIDUOS S A,Lautaro,Araucanía,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5472416,FMA INDUSTRIAL(CHILE) S.A.,87801300-K,FMA INDUSTRIAL SUC ANTOFAGASTA,Otras industrias manufactureras,,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,C2824,Fabricación de maquinaria para la explotación de minas y canteras y para obras de construcción,C282400,Antofagasta,Antofagasta,Antofagasta,2101,-23.53239338,-70.3861009,Generador Industrial,,,14.52,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Limaduras y virutas de metales férreos,Limaduras y virutas de metales férreos,12,Residuos del moldeado y del tratamiento físico y mecánico de superficie de metales y plásticos,1,Residuos del moldeado y tratamiento físico y mecánico de superficie de metales y plásticos,,,,,,,gi-sinader-2020-ckan.xlsx,False
2020,0,327806,COOP AGRICOLA PISQUERA ELQUI LTDA,82262600-9,VICUÑA,Otras industrias manufactureras,,"Destilación, rectificación y mezcla de bebidas alcohólicas",C1101,Elaboración de pisco (industrias pisqueras),C110110,Coquimbo,Elqui,Vicuña,4106,-30.0394874,-70.6983387,Generador Industrial,,,14.52,2.0,Valorización,31.0,Aplicación al Suelo,,,"Residuos de lavado, limpieza y reducción mecánica de materias primas","Residuos de lavado, limpieza y reducción mecánica de materias primas",2,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",7,"Residuos de la producción de bebidas alcohólicas y no alcohólicas (excepto café, té y cacao)",,DESTINATARIO FINAL,JOSE MIGUEL RODRIGUEZ VERGARA,Monte Patria,Coquimbo,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5442594,CIA SALMONIFERA DALCAHUE LIMITADA,79777030-2,PPISCICULTURA PULLINQUE,Pesca y acuicultura,,Acuicultura marina,A0321,Cultivo y crianza de peces marinos,A032110,Los Ríos,Valdivia,Panguipulli,14108,-39.59649197,-72.22039094,Generador Industrial,,,14.52,,,,,,,Residuos de tejidos de animales,Residuos de tejidos de animales,2,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",1,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca",5458171.0,PLANTA RILESUR,RESIDUOS INDUSTRIALES DEL SUR LTDA,Paillaco,Los Ríos,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5467624,NESTLE CHILE SA,90703000-8,NESTLE CHILE SA FABRICA PURINA,Otras industrias manufactureras,,Otras industrias manufactureras n.c.p.,C3290,Otras industrias manufactureras n.c.p.,C329000,Maule,Curicó,Teno,7308,-34.84885269,-71.1266268,Generador Industrial,,,14.52,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),45.0,Pretratamiento de plásticos ,Plásticos,Plásticos,20,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5460733.0,GREENDOT,GREENDOT SPA,Buin,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5470539,SUPERMERCADO DEL NEUMATICO LIMITADA,78239560-2,SUPERMERCADO DEL NEUMATICO LTDA,Ventas y mantención de vehículos automotores,,"Venta de partes, piezas y accesorios para vehículos automotores",G4530,"Venta de partes, piezas y accesorios para vehículos automotores",G453000,Metropolitana de Santiago,Santiago,Santiago,13101,-33.45010088,-70.66996548,Generador Industrial,,,14.511,2.0,Valorización,9.0,Recuperación de energía,25.0,Incineración con recuperación de energía,Neumáticos fuera de uso,Neumáticos fuera de uso,16,Residuos no especificados en otro capítulo de la lista,1,,5478267.0,ECOREL RIO CLARO,ECOREL SPA,Río Claro,Maule,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,4704679,RENDIC HERMANOS S A,81537600-5,UNIMARC CAMILO HENRIQUEZ II,Comercio minorista,,"Venta al por menor en comercios no especializados con predominio de la venta de alimentos, bebidas o tabaco",G4711,"Venta al por menor en comercios de alimentos, bebidas o tabaco (supermercados e hipermercados)",G471100,Maule,Curicó,Curicó,7301,-34.98149697,-71.24376024,Generador Industrial,,,14.51,5.0,Recepción y Almacenamiento,35.0,Pretratamiento (I.R.A.R.),36.0,"Pretratamiento de papel, cartón y productos de papel",Papel y cartón,Papel y cartón,20,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5461941.0,SOCIEDAD RECUPERADORA DE PAPEL RANCAGUA ,SOC RECUPERADORA DE PAPEL SPA,Rancagua,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2020-ckan.xlsx,False
