anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2020,0,5481095,INMOBILIARIA PROVIDENCIA LIMITADA,76436091-5,CENTRO LYNCH 2,Otras actividades,,Actividades inmobiliarias realizadas con bienes propios o arrendados,L6810,"Compra, venta y alquiler (excepto amoblados) de inmuebles",L681012,La Araucanía,Cautín,Temuco,9101,-38.740292,-72.5950964,Generador Industrial,,,220.15,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,"Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",17,Residuos de la construcción y demolición,9,Otros residuos de construcción y demolición,,,,,,,gi-sinader-2020-ckan.xlsx,False
2020,0,5458719,TRANSELEC S A,76555400-4,SUBESTACIÓN ATACAMA,Otras actividades,,"Generación, transmisión y distribución de energía eléctrica",D3510,Transmisión de energía eléctrica,D351020,Antofagasta,Antofagasta,Mejillones,2102,-23.09276552,-70.41809131,Generador Industrial,,,83.478,2.0,Valorización,8.0,Reciclaje,22.0,Reciclaje de Residuos voluminosos,Vidrio,Vidrio,17,Residuos de la construcción y demolición,2,"Madera, vidrio y plástico",5452838.0,GEOBARRA EXINS LTDA,GESTION INTEGRAL DE RESIDUOS GEOBARRA EXINS S.A.,Rengo,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,2186,ACEROS AZA S.A.,92176000-0,PLANTA RENCA,Otras industrias manufactureras,,Industrias básicas de hierro y acero,C2410,Industrias básicas de hierro y acero,C241000,Metropolitana de Santiago,Santiago,Renca,13128,-33.40124471,-70.68363114,Generador Industrial,,,78.647,2.0,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,Cascarilla de laminación,Cascarilla de laminación,10,Residuos de procesos térmicos,2,Residuos de la industria del hierro y del acero,4586042.0,COACTIVA,CEMENTO POLPAICO S A,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,245367,ORAFTI CHILE S A,77894990-3,ORAFTI CHILE S A,Otras industrias manufactureras,,Elaboración de otros productos alimenticios n.c.p.,C1079,Elaboración de otros productos alimenticios n.c.p.,C107909,Ñuble,Diguillín,Pemuco,16105,-36.91337606,-72.34325999,Generador Industrial,,,346.31,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Cenizas volantes de turba y de madera (no tratada),Cenizas volantes de turba y de madera (no tratada),10,Residuos de procesos térmicos,1,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),33161.0,PLANTA COPIULEMU,HIDRONOR CHILE S.A,Florida,Biobío,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,316809,CMPC MADERAS SPA,95304000-K,PLYWOOD,Industria de la madera y silvicultura,,Fabricación de hojas de madera para enchapado y tableros a base de madera,C1621,Fabricación de hojas de madera para enchapado y tableros a base de madera,C162100,La Araucanía,Malleco,Collipulli,9202,-37.79767349,-72.47551115,Generador Industrial,,,304522.398,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,"Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 03 01 04","Serrín, virutas, recortes, madera, tableros de partículas y chapas distintos de los mencionados en el código 03 01 04",3,"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",1,Residuos de la transformación de la madera y de la producción de tableros y muebles,322488.0,CMPC PULP SA PLANTA PACIFICO,CMPC PULP SPA,Collipulli,Araucanía,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5462158,CONSORCIO PUENTE CHACAO S.A.,76365546-6,PROYECTO PUENTE CHACAO,Construcción,,Construcción de otras obras de ingeniería civil,F4290,Construcción de otras obras de ingeniería civil,F429000,Los Lagos,Chiloé,Ancud,10202,-41.79467333,-73.52070858,Generador Industrial,,,45.0,,,,,,,Lodos de fosas sépticas,Lodos de fosas sépticas,20,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3,Otros residuos municipales,5458707.0,PAP PTAS PTO MONT,AGUAS SAN PEDRO S A,Puerto Montt,Los Lagos,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,381448,SOC COMERCIAL DEGRAF LIMITADA,77179750-4,DEGRAF LTDA.,Otras actividades,,Actividades de asociaciones empresariales y de empleadores,S9411,Actividades de asociaciones empresariales y de empleadores,S941100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.34745798,-70.71080121,Generador Industrial,,,44.79,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Metales mezclados,Metales mezclados,17,Residuos de la construcción y demolición,4,Metales (incluidas sus aleaciones),,DESTINATARIO FINAL,SERVICIOS DE INGENIERIA E INSTALACION DE RIEGO LIMITADA,San Joaquín,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5481751,PLAZA EGANA SPA,76447826-6,PROYECTO EGAÑA,Construcción,,Construcción de edificios para uso residencial y no residencial,F4100,Construcción de edificios para uso residencial,F410010,Metropolitana de Santiago,Santiago,Ñuñoa,13120,-33.4546303,-70.5714341,Generador Industrial,,,136377.0,,,,,,,Tierra y piedras distintas de las especificadas en el código 17 05 03,Tierra y piedras distintas de las especificadas en el código 17 05 03,17,Residuos de la construcción y demolición,5,"Tierra (excluida la excavada de zonas contaminadas), piedras y lodos de drenaje",,DESTINATARIO FINAL,CIA MINERA SANTA LAURA LIMITADA,San Bernardo,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5474400,HORMIGONES BICENTENARIO S.A.,99507430-3,PLANTA DE HORMIGONES LA DIVISA BSA,Otras industrias manufactureras,,Fabricación de otros productos minerales no metálicos n.c.p.,C2399,Fabricación de otros productos minerales no metálicos n.c.p.,C239900,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.54588486,-70.70224158,Generador Industrial,,,58068.0,1.0,Eliminación,3.0,Disposición final,12.0,Vertedero,Hormigón,Hormigón,17,Residuos de la construcción y demolición,1,"Hormigón, ladrillos, tejas y materiales cerámicos",5466772.0,BOTADERO SEMOT,SERVICIO MECANIZADO PARA MOVIMIENTO DE TIERRA LIMITADA,Puente Alto,Metropolitana de Santiago,Chile,gi-sinader-2020-ckan.xlsx,False
2020,0,5452863,PAPELES CORDILLERA SPA,96853150-6,"SISTEMA DE TRATAMIENTO SECUNDARIO DE RILES, PLANTA PUENTE ALTO DE PAPELES CORDILLERA S.A.",Industria del papel y celulosa,,"Fabricación de pasta de madera, papel y cartón",C1701,Fabricación de papel y cartón para su posterior uso industrial n.c.p.,C170190,Metropolitana de Santiago,Cordillera,Puente Alto,13201,-33.62268768,-70.5702793,Generador Industrial,,,57825.92,2.0,Valorización,8.0,Reciclaje,27.0,Compostaje,"Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10","Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10",3,"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3,"Residuos de la producción y transformación de pasta de papel, papel y cartón",5452173.0,PLANTA COMPOSTAJE SAN FRANCISCO MOSTAZAL,AGROORGANICOS MOSTAZAL LIMITADA,Mostazal,Libertador Gral. Bernardo O'Higgins,Chile,gi-sinader-2020-ckan.xlsx,False
