anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2017,12,5459468,SKY CHEFS CHILE SPA,81348400-5,SKYCHEFS CHILE SPA,Otras industrias manufactureras,,Elaboración de comidas y platos preparados,C1075,"Elaboración de comidas y platos preparados envasados, rotulados y con información nutricional",C107500,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.40546502,-70.79179487,Generador Industrial,,,6.18,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,5,9899,CLINICA LAS CONDES S A,93930000-7,CLINICA LAS CONDES,Otras actividades,,Actividades de hospitales públicos y privados,Q8610,Actividades de hospitales y clínicas privadas,Q861020,Metropolitana de Santiago,Santiago,Las Condes,13114,-33.38385062,-70.53025959,Generador Industrial,,,6.18,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Mezclas de residuos municipales,Mezclas de residuos municipales,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,7,2302,HUNTER DOUGLAS CHILE S A,92654000-9,HUNTER DOUGLAS CHILE S.A.,Otras industrias manufactureras,,Tratamiento y revestimiento de metales; maquinado,C2592,Tratamiento y revestimiento de metales; maquinado,C259200,Metropolitana de Santiago,Maipo,San Bernardo,13401,-33.61387614,-70.69664691,Generador Industrial,,,6.18,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,Metales mezclados,Metales mezclados,17.0,Residuos de la construcción y demolición,4.0,Metales (incluidas sus aleaciones),,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,6,11498,SCA CHILE S.A.,94282000-3,SCA CHILE SA,Industria del papel y celulosa,,Fabricación de otros artículos de papel y cartón,C1709,Fabricación de otros artículos de papel y cartón,C170900,Metropolitana de Santiago,Chacabuco,Lampa,13302,-33.20601818,-70.77234652,Generador Industrial,,,6.18,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Lodos de destintado procedentes del reciclado de papel,Lodos de destintado procedentes del reciclado de papel,3.0,"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3.0,"Residuos de la producción y transformación de pasta de papel, papel y cartón",,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,1,5735,GATE GOURMET CATERING CHILE LIMITADA,85628800-5,GATEGOURMET CATERING CHILE LTDA,Otras industrias manufactureras,,Elaboración de comidas y platos preparados,C1075,"Elaboración de comidas y platos preparados envasados, rotulados y con información nutricional",C107500,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.44606063,-70.77133003,Generador Industrial,,,6.18,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Otras fracciones no especificadas en otra categoría,Otras fracciones no especificadas en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1.0,Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,4,11498,SCA CHILE S.A.,94282000-3,SCA CHILE SA,Industria del papel y celulosa,,Fabricación de otros artículos de papel y cartón,C1709,Fabricación de otros artículos de papel y cartón,C170900,Metropolitana de Santiago,Chacabuco,Lampa,13302,-33.20601818,-70.77234652,Generador Industrial,,,6.18,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,"Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10","Lodos del tratamiento in situ de efluentes, distintos de los especificados en el código 03 03 10",3.0,"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3.0,"Residuos de la producción y transformación de pasta de papel, papel y cartón",,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,12,5468531,NESTLE CHILE SA,90703000-8,CD NESTLE PURINA,Otras actividades,,Almacenamiento y depósito,H5210,Otros servicios de almacenamiento y depósito n.c.p.,H521009,Metropolitana de Santiago,Santiago,Pudahuel,13124,-33.45111984,-70.79887618,Generador Industrial,,,6.18,2.0,Valorización,,,,,Materiales inadecuados para el consumo o la elaboración,Materiales inadecuados para el consumo o la elaboración,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",3.0,"Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas",,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,1,11678,GOODYEAR DE CHILE S A I C,93770000-8,GOODYEAR DE CHILE S.A.I.C. (2),"Industria química, de plástico y caucho",,Fabricación de otros productos de caucho,C2219,Fabricación de otros productos de caucho,C221900,Metropolitana de Santiago,Santiago,Maipú,13119,-33.53113066,-70.75588866,Generador Industrial,,,6.18,2.0,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,7.0,Residuos de procesos químicos orgánicos,2.0,"Residuos de la FFDU de plásticos, caucho sintético y fibras artificiales",,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,10,5462200,ELABORADORA DE ALIMENTOS FRUTALE LIMITADA,79746250-0,PLANTA QUILICURA,Otras industrias manufactureras,,Elaboración de productos de panadería,C1071,Elaboración de productos de panadería y pastelería,C107100,Metropolitana de Santiago,Santiago,Quilicura,13125,-33.34448957,-70.70762713,Generador Industrial,,,6.18,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,2.0,"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos",6.0,Residuos de la industria de panadería y pastelería,,,,,,,gi-sinader-2017-ckan.xlsx,False
2017,8,1620,CURTIDOS BAS S A,93111000-4,CURTIDOS BAS SA,Otras industrias manufactureras,,Curtido y adobo de cueros; adobo y teñido de pieles,C1511,Curtido y adobo de cueros; adobo y teñido de pieles,C151100,Metropolitana de Santiago,Santiago,San Joaquín,13129,-33.48653894,-70.62210408,Generador Industrial,,,6.17,1.0,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,"Lodos, en particular los procedentes del tratamiento in situ de efluentes, que no contienen cromo","Lodos, en particular los procedentes del tratamiento in situ de efluentes, que no contienen cromo",4.0,"Residuos de las industrias del cuero, de la piel y textil",1.0,Residuos de las industrias del cuero y de la piel,,,,,,,gi-sinader-2017-ckan.xlsx,False
