anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2019,0,2548,CMPC MADERAS SPA,95304000-K,ASERRADERO NACIMIENTO,Industria de la madera y silvicultura,,Aserrado y acepilladura de madera,C1610,Aserrado y acepilladura de madera,C161000,Biobío,Biobío,Nacimiento,8306.0,-37.5179751,-72.6582483,Generador Industrial,,,2796.0,2,Valorización,31.0,Aplicación al Suelo,,,"Cenizas del hogar, escorias y polvo de caldera (excepto el polvo de caldera especificado en el código 10 01 04)","Cenizas del hogar, escorias y polvo de caldera (excepto el polvo de caldera especificado en el código 10 01 04)",10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),,,,,,,gi-sinader-2019-ckan.xlsx,False
2019,0,6638,GUACOLDA ENERGIA SPA,76418918-3,GUACOLDA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Atacama,Huasco,Huasco,3304.0,-28.4686097,-71.2543765,Generador Industrial,,,324769.4,1,Eliminación,3.0,Disposición final,58.0,Depósito de Cenizas,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5461525.0,DEPOSITO DE CENIZAS GUACOLDA,GUACOLDA ENERGIA SPA,Huasco,Atacama,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5440489,TRANSPORTES COMETA S A,95896000-K,PATIOS DOS,Otras actividades,,Otras actividades de transporte de pasajeros por vía terrestre,H4922,Transporte de pasajeros en buses interurbanos,,Metropolitana de Santiago,Santiago,Estación Central,13106.0,-33.455844,-70.6814152,Generador Industrial,,,215000.0,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5452292,EMPRESA ELECTRICA ANGAMOS SPA,76004976-K,CENTRAL TERMOELÉCTRICA ANGAMOS,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102.0,-23.0685808,-70.3687702,Generador Industrial,,,211022.45,1,Eliminación,3.0,Disposición final,58.0,Depósito de Cenizas,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),2169953.0,DEPÓSITO DE CENIZAS ANGAMOS,EMPRESA ELECTRICA ANGAMOS SPA,Mejillones,Antofagasta,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5452233,EMPRESA ELECTRICA COCHRANE S.P.A.,76085254-6,CENTRAL TERMOELÉCTRICA COCHRANE,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102.0,-23.0642446,-70.3761736,Generador Industrial,,,192544.47,1,Eliminación,3.0,Disposición final,58.0,Depósito de Cenizas,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),2169953.0,DEPÓSITO DE CENIZAS ANGAMOS,EMPRESA ELECTRICA ANGAMOS SPA,Mejillones,Antofagasta,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5469555,SOLCROM S A,80397900-6,SOLCROM SA,"Industria química, de plástico y caucho",,Fabricación de sustancias químicas básicas,C2011,Fabricación de otras sustancias químicas básicas n.c.p.,C201109,Metropolitana de Santiago,Chacabuco,Lampa,13302.0,-33.2909622,-70.737166,Generador Industrial,,,150370.0,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,"Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03","Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03",17.0,Residuos de la construcción y demolición,9.0,Otros residuos de construcción y demolición,97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,81136,PULLMAN CARGO S A,89622400-K,PULLMAN CARGO S A,Otras actividades,,Transporte de carga por carretera,H4923,Transporte de carga por carretera,H492300,Metropolitana de Santiago,Santiago,Maipú,13119.0,-33.5367265,-70.7370169,Generador Industrial,,,145600.0,1,Eliminación,3.0,Disposición final,11.0,Relleno sanitario,Residuos municipales no especificados en otra categoría,Residuos municipales no especificados en otra categoría,20.0,"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",3.0,Otros residuos municipales,97614.0,RELLENO SANITARIO SANTA MARTA,CONSORCIO SANTA MARTA S A,Talagante,Metropolitana de Santiago,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,5465853,SOCIEDAD CONCESIONARIA NUEVO PUDAHUEL S.A.,76466068-4,AEROPUERTO INTERNACIONAL AMB,Otras actividades,,Transporte de pasajeros por vía aérea,H5110,Transporte de pasajeros por vía aérea,H511000,Metropolitana de Santiago,Santiago,Pudahuel,13124.0,-33.3972297,-70.7937975,Generador Industrial,,,127728.0,1,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,Tierra y piedras distintas de las especificadas en el código 17 05 03,Tierra y piedras distintas de las especificadas en el código 17 05 03,17.0,Residuos de la construcción y demolición,5.0,"Tierra (incluida la excavada de zonas contaminadas), piedras y lodos de drenaje",,,,,,,gi-sinader-2019-ckan.xlsx,False
2019,0,5453016,OCEAN SPRAY CHILE SPA,76248962-7,OCEAN SPRAY CHILE SPA,Otras industrias manufactureras,,Elaboración de otros productos alimenticios n.c.p.,C1079,Elaboración de otros productos alimenticios n.c.p.,C107909,Los Ríos,Valdivia,Lanco,14103.0,-39.4518132,-72.7841655,Generador Industrial,,,113781.0,1,Eliminación,3.0,Disposición final,32.0,Recepción de Lodos en PTAS,Residuos no especificados en otra categoría,Residuos no especificados en otra categoría,19.0,"Residuos de las instalaciones para el tratamiento de residuos, de las plantas externas de tratamiento de aguas residuales y de la preparación de agua para consumo humano y de agua para uso industrial",8.0,Residuos de plantas de tratamiento de aguas residuales no especificados en otra categoría,5403444.0,"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS, LANCO",EMPRESA DE SERVICIOS SANITARIOS DE LOS LAGOS S.A,Lanco,Los Ríos,Chile,gi-sinader-2019-ckan.xlsx,False
2019,0,436492,CENTRAL TERMOELECTRICA ANDINA S A,76708710-1,CENTRAL TERMICA ANDINA,Termoeléctricas,,"Generación, transmisión y distribución de energía eléctrica",D3510,Generación de energía eléctrica en centrales termoeléctricas,D351012,Antofagasta,Antofagasta,Mejillones,2102.0,-23.0856949,-70.4078842,Generador Industrial,,,103916.0,1,Eliminación,3.0,Disposición final,58.0,Depósito de Cenizas,Cenizas volantes de carbón,Cenizas volantes de carbón,10.0,Residuos de procesos térmicos,1.0,Residuos de centrales eléctricas y otras plantas de combustión (excepto el capítulo 19),5462674.0,VERTEDERO CENIZA Y ESCORIA CTM,ENGIE ENERGIA CHILE S.A.,Mejillones,Antofagasta,Chile,gi-sinader-2019-ckan.xlsx,False
