anio,mes,id_vu,razon_social,rut,nombre_establecimiento,rubro,id_rubro,ciiu4,id_ciiu4,ciiu6,id_ciiu6,region,provincia,comuna,id_comuna,latitud,longitud,rol_establecimiento,id_declaracion,tipo_movimiento,toneladas,tratamiento_n1_id,tratamiento_n1,tratamiento_n2_id,tratamiento_n2,tratamiento_n3_id,tratamiento_n3,ler_codigo,ler_nombre,ler_capitulo_num,ler_capitulo,ler_subcapitulo_num,ler_subcapitulo,trazabilidad_id_vu,trazabilidad_nombre_establecimiento,trazabilidad_razon_social,trazabilidad_comuna,trazabilidad_region,trazabilidad_pais,fuente_archivo,es_declaracion_excluida_original
2024,1,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,670640,2,12.47,2.0,Valorización,8.0,Reciclaje,27.0,Compostaje,15 01 03 | Envases de madera,15 01 03 | Envases de madera,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5453558.0,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,670640,2,3.13,2.0,Valorización,8.0,Reciclaje,27.0,Compostaje,20 02 01 | Residuos biodegradables,20 02 01 | Residuos biodegradables,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",2,02 | Residuos de parques y jardines (incluidos los residuos de cementerios),5453558.0,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,670640,2,0.15,2.0,Valorización,8.0,Reciclaje,16.0,"Reciclaje de papel, cartón y productos de papel",20 01 01 | Papel y cartón,20 01 01 | Papel y cartón,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",1,01 | Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01),5459117.0,SOREPA CARLOS VALDOVINOS,SOC RECUPERADORA DE PAPEL SPA,San Joaquín,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,670640,2,4.47,1.0,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,15 01 03 | Envases de madera,15 01 03 | Envases de madera,15,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",1,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),5453558.0,RECICLAJES INDUSTRIALES SA,RECICLAJES INDUSTRIALES S A,Pudahuel,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,670640,2,16.8,1.0,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,17 01 01 | Hormigón,17 01 01 | Hormigón,17,17 | Residuos de la construcción y demolición,1,"01 | Hormigón, ladrillos, tejas y materiales cerámicos",5473972.0,RIO CLARO TIL TIL,MAESTRANZA RIO CLARO LIMITADA,Tiltil,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,1,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,670640,2,53.2,1.0,Eliminación,3.0,Disposición final,60.0,Sitio de Escombros de la Construcción,20 02 01 | Residuos biodegradables,20 02 01 | Residuos biodegradables,20,"20 | Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente",2,02 | Residuos de parques y jardines (incluidos los residuos de cementerios),5461523.0,RECUPAC SUCURSAL PINTANA,RECUPAC S.A.,La Pintana,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,683150,2,2.42,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,16 02 16 | Componentes retirados de equipos desechados distintos de los especificados en el código 16 02 15,16 02 16 | Componentes retirados de equipos desechados distintos de los especificados en el código 16 02 15,16,16 | Residuos no especificados en otro capítulo de la lista,2,02 | Residuos de equipos eléctricos y electrónicos,5476918.0,LOS FRESNOS,INMOBILIARIA E INVERSIONES DOS M LIMITADA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,683150,2,5.619,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,"17 04 01 | Cobre, bronce, latón","17 04 01 | Cobre, bronce, latón",17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),5476918.0,LOS FRESNOS,INMOBILIARIA E INVERSIONES DOS M LIMITADA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,683150,2,16.976,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 02 | Aluminio,17 04 02 | Aluminio,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),5476918.0,LOS FRESNOS,INMOBILIARIA E INVERSIONES DOS M LIMITADA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
2024,2,5466122,ENEL DISTRIBUCION CHILE S.A.,96800570-7,VICTORIA,Otras actividades,20,"Generación, transmisión y distribución de energía eléctrica",D3510,Distribución de energía eléctrica,D351030,Metropolitana de Santiago,Santiago,Santiago,13101,-33.462974380876,-70.640591164422,Generador Industrial,683150,2,7.875,2.0,Valorización,8.0,Reciclaje,20.0,Reciclaje de metales,17 04 05 | Hierro y acero no galvanizados,17 04 05 | Hierro y acero no galvanizados,17,17 | Residuos de la construcción y demolición,4,04 | Metales (incluidas sus aleaciones),5476918.0,LOS FRESNOS,INMOBILIARIA E INVERSIONES DOS M LIMITADA,Colina,Metropolitana de Santiago,Chile,gi-sinader-2024-ckan.xlsx,False
