año,mes,id_vu,razon_social,rut_razon_social,nombre_establecimiento,rubro,rubro_id,ciiu4,ciiu4_id,ciiu6,ciiu6_id,region,provincia,comuna,codigo_unico_territorial,latitud,longitud,rol_establecimiento,declaracion_id,tipo_recepcion,cantidad_toneladas,tratamiento_n1_id,tratamiento_n1_name,tratamiento_n2_id,tratamiento_n2_name,tratamiento_n3_id,tratamiento_n3_name,LER,LER_numero,LER_capitulo,LER_numero_capitulo,LER_subcapitulo,LER_numero_subcapitulo,trazabilidad__id_vu,trazabilidad__nombre_establecimiento,trazabilidad__razon_social,trazabilidad__comuna,trazabilidad__region,trazabilidad__pais
2024,8,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931315,1,0.12,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,7,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931317,1,1.14,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,6,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931319,1,0.12,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,4,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931321,1,0.06,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,3,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931322,1,2.16,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,2,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931323,1,0.66,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,1,45,CIA MINERA CERRO COLORADO LTDA,94621000-5,CIA. MINERA CERRO COLORADO LTDA.,Minería,4,Extracción y procesamiento de cobre,B0400,Extracción y procesamiento de cobre,B040000,Tarapacá,Tamarugal,Pozo Almonte,1401,-20.057626493361,-69.257326904898,Destinatario Final,931325,1,0.18,2.0,Valorización,,,,,15 01 02 | Envases de plástico,2,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,45.0,CIA. MINERA CERRO COLORADO LTDA.,CIA MINERA CERRO COLORADO LTDA,Pozo Almonte,Tarapacá,Chile
2024,1,322,CIA PAPELERA DEL PACIFICO S A,96554890-4,COMPANIA PAPELERA PACIFICO,Industria del papel y celulosa,5,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C170200,Libertador Gral. Bernardo O'Higgins,Cachapoal,Mostazal,6110,-33.982563301563,-70.701968993166,Destinatario Final,711221,1,875.11,2.0,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,03 03 08 | Residuos procedentes de la clasificación de papel y cartón destinados al reciclado,8,"03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3,"03 | Residuos de la producción y transformación de pasta de papel, papel y cartón",3,322.0,COMPANIA PAPELERA PACIFICO,CIA PAPELERA DEL PACIFICO S A,Mostazal,Libertador Gral. Bernardo O'Higgins,Chile
2024,1,322,CIA PAPELERA DEL PACIFICO S A,96554890-4,COMPANIA PAPELERA PACIFICO,Industria del papel y celulosa,5,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C170200,Libertador Gral. Bernardo O'Higgins,Cachapoal,Mostazal,6110,-33.982563301563,-70.701968993166,Destinatario Final,711221,1,52.45,2.0,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,15 01 01 | Envases de papel y cartón,1,"15 | Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría",15,01 | Envases (incluidos los residuos de envases de la recogida selectiva municipal),1,322.0,COMPANIA PAPELERA PACIFICO,CIA PAPELERA DEL PACIFICO S A,Mostazal,Libertador Gral. Bernardo O'Higgins,Chile
2024,7,322,CIA PAPELERA DEL PACIFICO S A,96554890-4,COMPANIA PAPELERA PACIFICO,Industria del papel y celulosa,5,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C1702,Fabricación de papel y cartón ondulado y de envases de papel y cartón,C170200,Libertador Gral. Bernardo O'Higgins,Cachapoal,Mostazal,6110,-33.982563301563,-70.701968993166,Destinatario Final,752161,1,658.32,2.0,Valorización,8.0,Reciclaje,23.0,Co-procesamiento,03 03 08 | Residuos procedentes de la clasificación de papel y cartón destinados al reciclado,8,"03 | Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón",3,"03 | Residuos de la producción y transformación de pasta de papel, papel y cartón",3,322.0,COMPANIA PAPELERA PACIFICO,CIA PAPELERA DEL PACIFICO S A,Mostazal,Libertador Gral. Bernardo O'Higgins,Chile
