razon_social,anio,Eliminación,Recepción y Almacenamiento,Valorización,total,pct_valorizacion,n_declaraciones,rubro
CIA MINERA DEL PACIFICO S.A.,2021,14.05,0.0,0.0,14.05,0.0,3,Minería
CINTAC S.A.I.C.,2021,8.18,0.0,1102.77,1110.95,99.26369323551914,2,Otras industrias manufactureras
CITELUM CHILE SPA,2021,65.45,0.0,0.0,65.45,0.0,1,Construcción
CLARIANT COLORQUIMICA CHILE LTDA,2021,123.28,0.0,0.0,123.28,0.0,3,"Industria química, de plástico y caucho"
CLARO VICUNA VALENZUELA S A,2021,417.6,0.0,0.0,417.6,0.0,1,Construcción
CLINICA BUPA SANTIAGO S.A.,2021,6.52,0.0,0.0,6.52,0.0,1,Otras actividades
CMPC TISSUE S A,2021,792.59,0.0,280.96999999999997,1073.56,26.171802228100898,9,Industria del papel y celulosa
COCA COLA EMBONOR S A,2021,28.51,0.0,0.0,28.51,0.0,1,Otras industrias manufactureras
COLADA CONTINUA CHILENA SA,2021,0.0,0.0,55.5,55.5,100.0,1,Otras industrias manufactureras
COLBUN S A,2021,74.19,0.0,0.0,74.19,0.0,2,Otras centrales de generación eléctrica
COMERCIAL & LOGISTICA GENERAL S A,2021,166.004,41.699,0.0,207.70299999999997,0.0,14,Otras actividades
COMERCIAL K LIMITADA,2021,4816.32,0.0,0.0,4816.32,0.0,1,Construcción
COMERCIALIZADORA RIO CLARO DEL MAULE S.A.,2021,278.4,0.0,0.0,278.4,0.0,1,Producción agropecuaria
COMERCIALIZADORA VACOR LIMITADA,2021,85.19,0.0,41.7185,126.9085,32.87289661448997,3,Gestores de residuos
COMPANIA GENERAL DE ELECTRICIDAD S.A.,2021,1376.595,392.056,0.0,1768.651,0.0,46,Otras actividades
COMPANIA MINERA TECK QUEBRADA BLANCA S.A.,2021,0.0,0.0,4.550000000000001,4.550000000000001,100.0,2,Minería
COMPLEJO PORTUARIO MEJILLONES S A,2021,0.0,0.0,15.68,15.68,100.0,1,Otras actividades
CONPAX VALKO ARRIGONI INFRAESTRUCTURA S.A.,2021,0.0,0.0,46.72,46.72,100.0,1,Construcción
CONSORCIO DE SALUD SANTIAGO ORIENTE S.A. SOCIEDAD CONCESIONARIA,2021,31907.02,3.65,83.3,31993.97,0.2603615618818171,6,Construcción
CONSORCIO HABITACIONAL DE CHILE S A,2021,1033.56,0.0,13.6,1047.1599999999999,1.2987509072157073,2,Otras actividades
CONSTRUCTORA ALFREDO JARA Y COMPANIA S.A.,2021,949.2609,0.0,0.0,949.2609,0.0,7,Construcción
CONSTRUCTORA ALMAGRO S A,2021,3966.28,0.0,2.67,3968.9500000000003,0.06727220045604,14,Construcción
CONSTRUCTORA BESALCO LTDA,2021,4410.8396,0.0,0.0,4410.8396,0.0,13,Construcción
CONSTRUCTORA CALAN SPA,2021,1560.0,0.0,0.0,1560.0,0.0,3,Construcción
CONSTRUCTORA CONCRETA S A,2021,9107.494,0.0,0.0,9107.494,0.0,6,Construcción
CONSTRUCTORA CONPAX SPA,2021,67.72,0.0,0.0,67.72,0.0,2,Construcción
CONSTRUCTORA DE PAVIMENTOS ASFALTICOS BITUMIX S.A,2021,0.0,0.0,6.74,6.74,100.0,1,Construcción
CONSTRUCTORA E INMOBILIARIA BERSA CERRO COLORADO S.A.,2021,52.2,0.0,0.0,52.2,0.0,1,Otras actividades
CONSTRUCTORA E INMOBILIARIA LA DEHESA S.A.,2021,947.43,0.0,0.0,947.43,0.0,1,Construcción
CONSTRUCTORA E INMOBILIARIA PRESIDENTE RIESCO S.A.,2021,172.26000000000002,0.0,169644.7,169816.96000000002,99.89856136866423,4,Otras actividades
CONSTRUCTORA L Y D S A,2021,21489.75,0.0,21.88,21511.63,0.10171242253608861,22,Construcción
CONSTRUCTORA PACAL S A,2021,11158.37,0.0,0.0,11158.37,0.0,9,Construcción
CONSTRUMART S A,2021,22.614,0.0,0.0,22.614,0.0,6,Comercio minorista
COORDINADOR INDEPENDIENTE DEL SISTEMA ELECTRICO NACIONAL,2021,5840.0,0.0,0.0,5840.0,0.0,1,Otras centrales de generación eléctrica
CORP IGLESIA DE LOS ADVENTISTAS DEL SEPTIMO DIA,2021,1.9,0.0,0.0,1.9,0.0,1,Otras actividades
CORP NACIONAL DEL COBRE DE CHILE,2021,0.0,702.95,11206.19,11909.140000000001,94.09739074358014,2,Minería
CRISTALERIAS DE CHILE S A,2021,223.54,0.0,0.0,223.54,0.0,1,Otras industrias manufactureras
CRISTALERIAS TORO SPA,2021,845.34,0.0,206.3,1051.64,19.616979194401125,14,Gestores de residuos
DELGADO S.A.,2021,180.13,0.0,0.0,180.13,0.0,1,Otras industrias manufactureras
DESARROLLO INMOBILIARIO EJERCITO LIBERTADOR SPA,2021,7891.280000000001,0.0,0.0,7891.280000000001,0.0,3,Construcción
DIANA FOOD CHILE SPA,2021,52.0,0.0,0.0,52.0,0.0,1,Producción agropecuaria
DIANA SOLAR SPA,2021,18.2,0.0,39.5,57.7,68.4575389948007,2,Otras centrales de generación eléctrica
DICTUC S.A.,2021,0.0,0.0,207.018,207.018,100.0,2,Otras actividades
DISTRIBUIDORA CUMMINS CHILE S A,2021,0.0,222.30599999999998,0.0,222.30599999999998,0.0,2,Comercio mayorista
DON MANUEL SPA,2021,12078.0,0.0,0.0,12078.0,0.0,1,Construcción
DSPUENTEALTO SPA,2021,1400.7,0.0,0.0,1400.7,0.0,2,Construcción
E. MOLINA MOREL INMOBILIARIA LIMITADA,2021,2398.61,0.0,0.0,2398.61,0.0,3,Construcción
EASY S A,2021,154.065,0.0,0.0,154.065,0.0,1,Comercio minorista
EBCO S A,2021,3526.882,0.0,0.0,3526.882,0.0,1,Construcción
EBCO S.A.,2021,26025.413,0.0,0.0,26025.413,0.0,50,Construcción
ECHEVERRIA IZQUIERDO CONSTRUCCIONES S.A.,2021,1673.1,0.0,0.0,1673.1,0.0,3,Construcción
ECHEVERRIA IZQUIERDO EDIFICACIONES S.A.,2021,4255.0,0.0,0.0,4255.0,0.0,7,Construcción
