razon_social,anio,Eliminación,Recepción y Almacenamiento,Valorización,total,pct_valorizacion,n_declaraciones,rubro
INMOBILIARIA NUCLEO ALMEYDA S.A.,2021,228.726,0.0,0.0,228.726,0.0,3,Otras actividades
INMOBILIARIA NUCLEO COTAPOS SPA,2021,550.5840000000001,0.0,0.0,550.5840000000001,0.0,2,Otras actividades
INMOBILIARIA NUCLEO LOS MAITENES SPA,2021,19284.68,0.0,0.0,19284.68,0.0,4,Construcción
INMOBILIARIA NUEVA QUILLOTA SPA,2021,1155.36,0.0,0.0,1155.36,0.0,1,Otras actividades
INMOBILIARIA NUEVA UNO SPA,2021,373.58,0.0,14.29,387.87,3.6842240957021684,6,Otras actividades
INMOBILIARIA PARQUE ANDINO SPA,2021,790.5,0.0,0.0,790.5,0.0,2,Otras actividades
INMOBILIARIA PARQUE BUIN S.A.,2021,1849.7,0.0,0.0,1849.7,0.0,1,Otras actividades
INMOBILIARIA PAZ SPA,2021,10406.178,0.0,0.0,10406.178,0.0,6,Construcción
INMOBILIARIA PCS S A,2021,5.76,0.0,0.0,5.76,0.0,1,Construcción
INMOBILIARIA PEDRO ALARCON S.A.,2021,162.0,0.0,0.0,162.0,0.0,1,Construcción
INMOBILIARIA PEDRO DE ONA SPA,2021,306.0,0.0,0.0,306.0,0.0,1,Otras actividades
INMOBILIARIA PINARES SPA,2021,0.0,0.0,0.69,0.69,100.0,1,Construcción
INMOBILIARIA PIRINEOS SPA,2021,846.51,0.0,0.0,846.51,0.0,1,Otras actividades
INMOBILIARIA PK 67 S A,2021,487.2,0.0,0.0,487.2,0.0,1,Construcción
INMOBILIARIA PORTAL SANTA MARIA S.A..,2021,1585.0,0.0,0.0,1585.0,0.0,1,Construcción
INMOBILIARIA PORTUGAL SPA,2021,5590.2,0.0,0.0,5590.2,0.0,1,Construcción
INMOBILIARIA PROYECTO MACUL SPA,2021,1531.0,0.0,0.0,1531.0,0.0,1,Construcción
INMOBILIARIA PUANGUE SPA,2021,310.28,0.0,0.0,310.28,0.0,4,Construcción
INMOBILIARIA PUCARA SPA,2021,1003.11,0.0,0.0,1003.11,0.0,1,Otras actividades
INMOBILIARIA PUERTAS DE LA DEHESA SPA,2021,2568.0,0.0,0.0,2568.0,0.0,2,Otras actividades
INMOBILIARIA RALEI INDEPENDENCIA II SPA,2021,2306.25,0.0,0.0,2306.25,0.0,3,Otras actividades
INMOBILIARIA RDG MANUEL RODRIGUEZ SPA,2021,856.0,0.0,0.0,856.0,0.0,1,Otras actividades
INMOBILIARIA RECREO 321 SPA,2021,1230.03,0.0,0.0,1230.03,0.0,1,Construcción
INMOBILIARIA RENACA ALTO SPA,2021,0.0,0.0,2.99,2.99,100.0,1,Construcción
INMOBILIARIA ROBERTO ESPINOZA SPA,2021,803.88,0.0,0.0,803.88,0.0,1,Otras actividades
INMOBILIARIA RONDIZZONI SPA,2021,1151.0,0.0,0.0,1151.0,0.0,1,Otras actividades
INMOBILIARIA RUTA DESARROLLO TRES SPA,2021,135.72,0.0,0.0,135.72,0.0,1,Otras actividades
INMOBILIARIA RUTA DESARROLLO UNO SPA,2021,779.71,0.0,0.0,779.71,0.0,3,Otras actividades
INMOBILIARIA SALVADOR SPA,2021,1100.0,0.0,0.0,1100.0,0.0,1,Otras actividades
INMOBILIARIA SAN JOAQUIN SPA,2021,594.0,0.0,0.0,594.0,0.0,3,Construcción
INMOBILIARIA SAN JOSE DE LA ESTRELLA SPA,2021,701.6859,0.0,0.0,701.6859,0.0,2,Construcción
INMOBILIARIA SANTA CLARA SPA,2021,2348.46,0.0,0.0,2348.46,0.0,1,Construcción
INMOBILIARIA SANTA ELISA SUR SPA,2021,605.6700000000001,0.0,0.0,605.6700000000001,0.0,2,Construcción
INMOBILIARIA SANTA ELVIRA SPA,2021,1881.1599999999999,0.0,0.0,1881.1599999999999,0.0,2,Otras actividades
INMOBILIARIA SANTA MARIA OFFICE SPA,2021,869.0,0.0,0.0,869.0,0.0,2,Otras actividades
INMOBILIARIA SARA MONCADA SPA,2021,1673.88,0.0,0.0,1673.88,0.0,1,Construcción
INMOBILIARIA SAZIE S.A.,2021,167.5,0.0,0.0,167.5,0.0,2,Construcción
INMOBILIARIA SIMETRIA I SPA,2021,354.238,0.0,0.0,354.238,0.0,2,Construcción
INMOBILIARIA SOCOVESA SUR S A,2021,994.56,0.0,0.0,994.56,0.0,2,Construcción
INMOBILIARIA SUR CINCUENTA Y DOS SPA,2021,835.1999999999999,0.0,0.0,835.1999999999999,0.0,2,Construcción
INMOBILIARIA TOESCA SPA,2021,109.62,0.0,0.0,109.62,0.0,1,Construcción
INMOBILIARIA URBANO BUSTAMANTE SPA,2021,0.0,0.0,1365.0,1365.0,100.0,2,Construcción
INMOBILIARIA URBANO PARK SPA,2021,0.0,0.0,547.2,547.2,100.0,2,Construcción
INMOBILIARIA VALDIVIA UNO SPA,2021,87.15,0.0,0.0,87.15,0.0,2,Otras actividades
INMOBILIARIA VIDA NUEVA LIMITADA,2021,3201.016,0.0,0.0,3201.016,0.0,3,Construcción
INMOBILIARIA VISTA KENNEDY SPA,2021,994.56,0.0,0.0,994.56,0.0,2,Otras actividades
INMOBILIARIA VISTA SAN MARTIN SPA,2021,781.47,0.0,0.0,781.47,0.0,2,Construcción
INMOBILIARIA VITACURA SPA,2021,702.0,0.0,0.0,702.0,0.0,1,Otras actividades
INMOBILIARIA VIVACETA SPA,2021,2755.0,0.0,0.0,2755.0,0.0,3,Construcción
INMOBILIARIA VIVIENDAS 2000 SPA,2021,2599.239,0.0,189.0,2788.239,6.778472003296704,6,Construcción
INMOBILIARIA VIVO SANTIAGO SPA,2021,419.2,0.0,0.642,419.842,0.15291466789887626,3,Construcción
INMOBILIARIA Y COMERCIAL QUILICURA LIMITADA,2021,1139.04,0.0,0.0,1139.04,0.0,3,Construcción
INMOBILIARIA Y CONSTRUCTORA CHORRILLOS S.A.,2021,725.0,0.0,0.0,725.0,0.0,1,Construcción
INMOBILIARIA Y CONSTRUCTORA DON ANTONIO SPA,2021,2622.0,0.0,0.0,2622.0,0.0,4,Construcción
INMOBILIARIA Y CONSTRUCTORA EL CERRO LIMITADA,2021,3200.0,0.0,0.0,3200.0,0.0,1,Construcción
INMOBILIARIA Y CONSTRUCTORA SAN LUIS DE MACUL SPA,2021,1093.05,0.0,0.0,1093.05,0.0,2,Construcción
INMOBILIARIA Y DESARROLLADORA EL REMANSO SPA.,2021,634.23,0.0,0.0,634.23,0.0,1,Otras actividades
INMOBILIARIA ZAMORA SPA,2021,90.0,0.0,0.0,90.0,0.0,1,Otras actividades
INMOBILIARIA ZANARTU S.A.,2021,823.0,0.0,39888.8,40711.8,97.9784730716893,3,Otras actividades
INSTAPANEL S.A.,2021,0.0,95.48,891.0,986.48,90.32114183764496,2,Otras industrias manufactureras
INVERSIONES DEL PACIFICO LIMITADA,2021,388.375,0.0,0.0,388.375,0.0,1,Producción agropecuaria
INVERSIONES HS SPA,2021,659.12,0.0,0.0,659.12,0.0,2,Otras actividades
INVERSIONES INGENIEROS DOCE SPA,2021,2498.64,0.0,0.0,2498.64,0.0,1,Otras actividades
INVERSIONES INGENIEROS QUINCE SPA,2021,32.19,0.0,0.0,32.19,0.0,1,Otras actividades
INVERSIONES INGENIEROS TRECE SPA,2021,1397.22,0.0,0.0,1397.22,0.0,1,Otras actividades
INVERSIONES TERRACORP S A,2021,688.17,0.0,0.0,688.17,0.0,4,Otras actividades
INVERSIONES Y RENTAS SENDERO SPA,2021,0.0,0.0,210.0,210.0,100.0,1,Otras actividades
IRARRAZAVAL 4870 SPA,2021,307.23999999999995,0.0,0.0,307.23999999999995,0.0,2,Otras actividades
IRARRAZAVAL SPA,2021,4016.79,0.0,0.0,4016.79,0.0,1,Construcción
KAL TIRE SOCIEDAD ANONIMA,2021,14.5,0.0,0.0,14.5,0.0,1,Gestores de residuos
KOMATSU REMAN CENTER CHILE S.A.,2021,8.86134,113.0281,2.02332,123.91275999999999,1.632858472363944,6,Otras industrias manufactureras
KYNDRYL CHILE SPA,2021,0.0,0.03,0.0,0.03,0.0,1,Otras actividades
LABORATORIO BALLERINA LIMITADA,2021,0.2,0.66,0.0,0.8600000000000001,0.0,2,"Industria química, de plástico y caucho"
LABORATORIO DURANDIN SA,2021,272.17999999999995,0.0,0.0,272.17999999999995,0.0,2,"Industria química, de plástico y caucho"
LABORATORIOS ANDROMACO S.A.,2021,161.95999999999998,0.0,0.0,161.95999999999998,0.0,2,Otras industrias manufactureras
LAGUNA CENTRO 1 SPA,2021,0.0,0.0,2825.0,2825.0,100.0,1,Construcción
LANCO & HARRIS SURAMERICA SPA,2021,30930.0,0.0,0.0,30930.0,0.0,1,Comercio minorista
LEMACO SPA,2021,0.6,0.0,0.0,0.6,0.0,1,Otras industrias manufactureras
LEVADURAS COLLICO S A,2021,0.0,0.0,1.85,1.85,100.0,1,Otras industrias manufactureras
LIMCHILE S A,2021,1.71,0.0,0.0,1.71,0.0,2,Otras actividades
LINDE HIGH LIFT CHILE S A,2021,1.7000000000000002,0.0,0.0,1.7000000000000002,0.0,2,Otras actividades
MAESTRA DON RODRIGO SPA,2021,21823.86,0.0,0.0,21823.86,0.0,5,Construcción
MAESTRA EDIFICACION S.A.,2021,896.0999999999999,0.0,0.0,896.0999999999999,0.0,2,Construcción
MAESTRA PROYECTOS SPA,2021,2319.42,0.0,0.0,2319.42,0.0,3,Construcción
MAESTRA QUILPUE DOS SPA,2021,1632.12,0.0,0.0,1632.12,0.0,2,Construcción
MAESTRANZA ACUNA SPA,2021,0.0,0.0,24.61,24.61,100.0,1,Otras industrias manufactureras
MASISA S.A.,2021,0.0,0.0,26.95,26.95,100.0,1,Industria de la madera y silvicultura
MATRIZ IDEAS S A,2021,160.95,0.0,0.0,160.95,0.0,1,Comercio minorista
MAXAM CHILE S.A.,2021,0.0,1.07,0.0,1.07,0.0,1,"Industria química, de plástico y caucho"
MEDICAL INTERNATIONAL LABORATORIES CORPORATION S A,2021,8.75,0.0,0.0,8.75,0.0,1,Otras industrias manufactureras
MELON ARIDOS LIMITADA,2021,0.0,7.0,11.37,18.369999999999997,61.89439303211759,2,Minería
MELON S.A.,2021,2532.15,0.0,0.0,2532.15,0.0,1,"Producción de cemento, cal y yeso"
METROGAS S A,2021,0.0,0.0,15.14,15.14,100.0,1,Otras actividades
MINERA LO VALDES LIMITADA,2021,5.19,0.0,32.04,37.23,86.05962933118452,2,Minería
MINERA SPENCE S A,2021,0.0,0.0,1208.75,1208.75,100.0,2,Minería
MOLYMETNOS S.A.,2021,1129.5,1.02,0.0,1130.52,0.0,4,Minería
MONSANTO CHILE  S.A.,2021,58.540000000000006,0.0,0.0,58.540000000000006,0.0,2,Producción agropecuaria
NESTLE CHILE SA,2021,806.36,1.1609999999999998,0.04,807.5609999999999,0.004953186198937295,6,Otras industrias manufactureras
NORACID SA,2021,1.28,0.0,0.0,1.28,0.0,1,"Industria química, de plástico y caucho"
OBRASCON HUARTE LAIN S A AGENCIA EN CHILE,2021,2220.014,0.0,0.0,2220.014,0.0,4,Construcción
ORBIT GARANT CHILE S.A.,2021,0.0,8.65,10.56,19.21,54.971369078604894,2,Minería
OXIQUIM S A,2021,0.0,0.0,40.79,40.79,100.0,1,"Industria química, de plástico y caucho"
PANAL SPA,2021,5821.2,0.0,0.0,5821.2,0.0,1,Otras actividades
PARQUE EOLICO CAMPO LINDO SPA,2021,91.38,0.0,0.0,91.38,0.0,1,Otras centrales de generación eléctrica
PERI CHILE ENCOFRADOS Y ANDAMIOS LIMITADA,2021,227.23,0.0,0.0,227.23,0.0,1,Construcción
PLACILLA SPA,2021,1694.68,0.0,0.0,1694.68,0.0,2,Otras actividades
PLASVI SPA,2021,0.0,0.0,26.82,26.82,100.0,2,"Industria química, de plástico y caucho"
PLAZA EGANA SPA,2021,90.0,0.0,102306.442,102396.442,99.91210632103798,6,Construcción
POLYDECK CHILE LIMITADA,2021,0.0,0.0,8.02,8.02,100.0,1,Otras industrias manufactureras
PREFABRICADOS DE HORMIGON GRAU S A,2021,5402.7,0.0,0.0,5402.7,0.0,1,Otras industrias manufactureras
PRIME ENERGIA QUICKSTART SPA,2021,1.2832999999999999,0.0,0.0,1.2832999999999999,0.0,3,Termoeléctricas
PROMET SERVICIOS SPA,2021,282.08,0.0,0.0,282.08,0.0,2,Construcción
PUERTA COSTANERA SPA,2021,382.8,0.0,0.0,382.8,0.0,1,Construcción
QUIMETAL INDUSTRIAL S A,2021,0.0,435.684,0.0,435.684,0.0,2,"Industria química, de plástico y caucho"
READY MIX HORMIGONES LIMITADA,2021,19168.0,0.0,0.0,19168.0,0.0,8,Otras industrias manufactureras
REFINERIA DE GRASAS Y ACEITES COMESTIBLES VIACAVA SPA.,2021,0.0,0.0,9.57,9.57,100.0,1,Otras industrias manufactureras
RESITER INDUSTRIAL S.A.,2021,0.0,1.683,582.041,583.724,99.71167880710748,5,Gestores de residuos
RINOL HORMIPUL CHILE S.A.,2021,17.6,0.0,0.0,17.6,0.0,4,Otras industrias manufactureras
ROTORY PVC SPA,2021,0.0,0.0,5.462000000000001,5.462000000000001,100.0,2,Otras industrias manufactureras
RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A.,2021,3720.4,43.65,17.537,3781.587,0.46374709877096576,3,Construcción
SALADO ENERGY SPA,2021,3.03,0.0,0.0,3.03,0.0,1,Otras centrales de generación eléctrica
SANTIAGO SUR 1 SPA.,2021,2062.985,0.0,0.0,2062.985,0.0,8,Otras actividades
SCM MINERA LUMINA COPPER CHILE,2021,0.0,0.0,3621.6,3621.6,100.0,3,Minería
SERVICIO DE SALUD CHILOE,2021,129.74,0.0,0.0,129.74,0.0,2,Construcción
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,2021,1057.64,0.0,0.0,1057.64,0.0,1,Otras actividades
SERVICIO DE SALUD VALPARAISO SAN ANTONIO,2021,188.12,0.0,0.0,188.12,0.0,1,Otras actividades
SERVICIO DE VIVIENDA Y URBANIZACION IX REGION,2021,0.0,0.0,65.97,65.97,100.0,1,Otras actividades
SERVICIO SALUD METROPOLITANO OCCIDENTE,2021,3365.17,0.0,0.0,3365.17,0.0,4,Otras actividades
SICE AGENCIA CHILE S.A.,2021,1.58,0.0,0.0,1.58,0.0,4,Otras actividades
SIKA S A CHILE,2021,2462.071,0.0,122.19,2584.261,4.728237589005135,11,"Industria química, de plástico y caucho"
SIMONETTI INMOBILIARIA S.A.,2021,50.46,0.0,2.88,53.34,5.399325084364453,2,Construcción
SINERGIA INMOBILIARIA S.A.,2021,11762.0,0.0,0.0,11762.0,0.0,13,Construcción
SISTEMA DE TRANSMISION DEL SUR S.A.,2021,0.0,0.0,124.245,124.245,100.0,4,Otras actividades
SKC S.A,2021,0.0,0.0,47.396,47.396,100.0,1,Ventas y mantención de vehículos automotores
SOC COMERCIAL DEGRAF LIMITADA,2021,0.0,165.444,158.7,324.144,48.95972160521249,2,Otras actividades
SOC CONCESIONARIA AUTOPISTA CENTRAL S A,2021,24.0,0.0,0.0,24.0,0.0,1,Otras actividades
SOC CONCESIONARIA AUTOPISTA DE LOS ANDES S A,2021,0.0,950.4,0.0,950.4,0.0,1,Otras actividades
SOC CONCESIONARIA AUTOPISTA DEL SOL S A,2021,347.12,0.0,0.0,347.12,0.0,1,Otras actividades
SOC CONCESIONARIA CENTRO DE JUSTICIA DE SANTIAGO S A,2021,28.97,0.0,0.0,28.97,0.0,1,Construcción
SOC DE CONSTRUCTORES TENSACON S A,2021,0.0,0.0,305.35200000000003,305.35200000000003,100.0,2,Construcción
SOC DE SERVICIOS TECNICOS GEOLOGI  COS GEOTEC BOYLES            BROS S A,2021,0.0,0.0,8.38,8.38,100.0,1,Minería
SOC INDUSTRIAL ROMERAL S A,2021,7196.87,0.0,0.0,7196.87,0.0,2,Otras industrias manufactureras
SOC MINERA ROSARIO LTDA,2021,0.0,0.04,29.3,29.34,99.86366734832993,3,Minería
SOC PETREOS S A,2021,46769.21,0.0,0.0,46769.21,0.0,5,Otras industrias manufactureras
SOCIEDAD AGRICOLA CAREN LIMITADA,2021,8.73,0.0,0.0,8.73,0.0,1,Producción agropecuaria
SOCIEDAD CONCESIONARIA AMB S.A.,2021,310.0,0.0,0.0,310.0,0.0,1,Otras actividades
SOCIEDAD CONCESIONARIA AMERICO VESPUCIO ORIENTE II S.A.,2021,1.0,0.0,0.0,1.0,0.0,1,Otras actividades
SOCIEDAD CONCESIONARIA RUTA DE LA FRUTA S.A.,2021,2.87,0.0,0.0,2.87,0.0,1,Construcción
SOCIEDAD CONCESIONARIA TUNEL EL MELON II S.A,2021,355.87,0.0,0.0,355.87,0.0,1,Construcción
SOCIEDAD CONCESIONARIA VESPUCIO ORIENTE S.A.,2021,2580.127,0.0,0.0,2580.127,0.0,2,Construcción
SOCIEDAD CONTRACTUAL MINERA FRANKE,2021,0.0,0.0,17.98,17.98,100.0,1,Minería
SOCIEDAD GNL MEJILLONES S.A.,2021,0.0,0.0,98.67,98.67,100.0,2,Otras actividades
SOCIEDAD INDUSTRIAL PIZARRENO S.A.,2021,7607.24,0.0,0.0,7607.24,0.0,4,Otras industrias manufactureras
SOCIEDAD LEM LABORATORIOS & ASISTENCIA TECNICA LIMITADA,2021,30.0,0.0,0.0,30.0,0.0,1,Otras actividades
SOCIEDAD PUNTA DE LOBOS S.A.,2021,0.0,0.0,0.284,0.284,100.0,1,Otras industrias manufactureras
SOCOMPA DE VERANO SPA,2021,7.98,0.0,0.0,7.98,0.0,1,Otras centrales de generación eléctrica
SOCOVESA INMOBILIARIA Y CONSTRUCCIONES S.A,2021,1756.17,0.0,0.0,1756.17,0.0,2,Construcción
SODIMAC S.A.,2021,408.9,0.0,0.0,408.9,0.0,4,Comercio mayorista
SOLCROM S A,2021,23.03,0.0,0.0,23.03,0.0,1,"Industria química, de plástico y caucho"
SOPRAVAL S A,2021,35.321999999999996,0.0,0.0,35.321999999999996,0.0,3,Producción agropecuaria
SOPROCAL CALERIAS E INDUSTRIAS S A,2021,0.0,3.13,0.0,3.13,0.0,1,"Producción de cemento, cal y yeso"
SYNTHEON CHILE LIMITADA,2021,0.0,79.09,0.0,79.09,0.0,2,"Industria química, de plástico y caucho"
TECNO FAST S.A.,2021,2440.07,0.0,0.0,2440.07,0.0,10,Construcción
TECNOVIAL S A,2021,0.0,0.0,412.326,412.326,100.0,1,Otras industrias manufactureras
TELEFONICA CHILE S.A.,2021,6.956,0.824,0.0,7.78,0.0,10,Otras actividades
TERQUIM S.A.,2021,0.0,0.0,50.37,50.37,100.0,1,Otras actividades
TERRITORIA APOQUINDO S.A,2021,4317.72,0.0,0.0,4317.72,0.0,2,Otras actividades
TIC SOLAR SPA,2021,15.94,0.0,0.0,15.94,0.0,1,Otras centrales de generación eléctrica
TOLPAN SUR SPA,2021,1.062,0.0,0.0,1.062,0.0,1,Otras centrales de generación eléctrica
TRANSELEC S A,2021,101.36000000000001,0.0,0.0,101.36000000000001,0.0,2,Otras actividades
TRANSMISORA DEL PACIFICO S.A.,2021,32.0,0.0,0.0,32.0,0.0,1,Otras actividades
TRANSPORTES ANDINA REFRESCOS LTDA,2021,17.46,0.0,0.0,17.46,0.0,1,Otras actividades
UNILEVER CHILE LTDA,2021,5.88,4.96,0.0,10.84,0.0,4,Otras actividades
UNIVERSIDAD DE CHILE,2021,1620.788,0.0,0.0,1620.788,0.0,9,Otras actividades
V S L SISTEMAS ESPECIALES DE CONSTRUCCION S A,2021,25.029999999999998,0.0,0.0,25.029999999999998,0.0,2,Construcción
VICUÑA CAPITAL SPA,2021,0.0,0.0,12.81,12.81,100.0,1,Otras actividades
VIDRIOS DELL ORTO S.A.,2021,0.0,0.0,1258.08,1258.08,100.0,2,Otras industrias manufactureras
VILLABLANCA INDUSTRIAL SOCIEDAD ANONIMA,2021,0.0,0.0,7.1,7.1,100.0,1,Otras industrias manufactureras
VITIVINICOLA PEREZ CRUZ LIMITADA,2021,2.44,0.0,0.0,2.44,0.0,1,Otras industrias manufactureras
VIVIENDAS ARAUCARIAS SPA,2021,612.0,0.0,0.0,612.0,0.0,1,Construcción
VIVIENDAS ECONOMICAS CINCO DE ABRIL S.A.,2021,852.0,0.0,0.0,852.0,0.0,4,Construcción
VIVIENDAS ECONOMICAS SAN LUIS S.A.,2021,890.05,0.0,0.0,890.05,0.0,2,Construcción
VJ S.A.,2021,31.0,1.2,0.0,32.2,0.0,2,Otras industrias manufactureras
WATT'S  S.A.,2021,20.52,9.698,171.88,202.09799999999998,85.04784807370682,6,Otras industrias manufactureras
WEIDENHAMMER CHILE LIMITADA,2021,0.97,0.0,0.0,0.97,0.0,1,Industria del papel y celulosa
WORLEY INGENIERIA Y CONSTRUCCION CHILE S.A.,2021,0.96,0.0,0.0,0.96,0.0,1,Otras actividades
WPD DUQUECO S.P.A,2021,4.68,0.0,0.0,4.68,0.0,2,Otras centrales de generación eléctrica
WPD MALLECO S.P.A.,2021,47.81,0.0,0.0,47.81,0.0,5,Otras centrales de generación eléctrica
WPD NEGRETE S.P.A.,2021,5.71,0.0,0.0,5.71,0.0,1,Otras centrales de generación eléctrica
WURTH CHILE LIMITADA,2021,317.15,0.0,0.0,317.15,0.0,1,Otras industrias manufactureras
ABASTIBLE S.A.,2022,14.0,0.0,0.0,14.0,0.0,1,Otras actividades
ABC SOLAR 3 SPA,2022,0.0,10.63,0.0,10.63,0.0,1,Otras centrales de generación eléctrica
ACEROS AZA S.A.,2022,4618.6900000000005,0.0,0.0,4618.6900000000005,0.0,2,Otras industrias manufactureras
ACONCAGUA FOODS S.A.,2022,93.04,0.0,9.71,102.75,9.450121654501217,2,Otras industrias manufactureras
ADMINISTRADORA DE SUPERMERCADOS HIPER LIMITADA,2022,215.76,0.0,0.0,215.76,0.0,1,Comercio minorista
ADMINISTRADORA DEL PRADO Y LA FORESTA SPA,2022,823.65,0.0,0.0,823.65,0.0,3,Otras actividades
AES ANDES S A,2022,29.08,0.0,130.64499999999998,159.72499999999997,81.79370793551416,6,Otras centrales de generación eléctrica
AGRICOLA SAN JOSE DE PERALILLO S A,2022,0.0,6.93,13.115,20.045,65.42778747817411,3,Otras industrias manufactureras
AGUAS ANDINAS S A,2022,124.41,0.0,0.0,124.41,0.0,1,"Captación, tratamiento y distribución de agua"
AGUAS CORDILLERA S A,2022,5.62,0.0,0.0,5.62,0.0,1,"Captación, tratamiento y distribución de agua"
AGUAS DE ANTOFAGASTA S.A.,2022,12.57,0.0,0.0,12.57,0.0,1,"Captación, tratamiento y distribución de agua"
AGUILAR Y COMPANIA LIMITADA,2022,0.0,0.0,6.55,6.55,100.0,1,Otras industrias manufactureras
AIR LIQUIDE CHILE S A,2022,0.0,0.0,0.109,0.109,100.0,1,Construcción
AISLANTES VOLCAN S A,2022,99.17,0.0,4.8,103.97,4.616716360488602,4,Otras industrias manufactureras
ALMAGRO S A,2022,2673.58,0.0,0.0,2673.58,0.0,6,Construcción
ALTO MAIPO SPA,2022,45680.0,0.0,501.097,46181.097,1.0850695036542763,17,Otras centrales de generación eléctrica
AMERIS UPC DEPARTAMENTAL TRES SPA,2022,2307.7,0.0,0.0,2307.7,0.0,2,Construcción
ANDES ANALYTICAL ASSAY SPA,2022,4.24,0.0,0.0,4.24,0.0,1,Otras actividades
ANGLO AMERICAN SUR S.A.,2022,2203.102,0.0,567.5300000000001,2770.632,20.483774099194697,4,Minería
AR LLANOS DEL VIENTO SPA,2022,11.15,0.0,0.0,11.15,0.0,1,Otras centrales de generación eléctrica
ARAUCO SPA,2022,2429.11,0.0,0.0,2429.11,0.0,5,Otras actividades
ARCADIA GENERACION SOLAR S.A.,2022,95.77000000000001,0.0,0.0,95.77000000000001,0.0,2,Otras centrales de generación eléctrica
ARCHROMA CHILE LIMITADA,2022,0.0,0.0,0.286,0.286,100.0,1,"Industria química, de plástico y caucho"
ARRENDAMIENTOS VICUNA MACKENNA MIL CUATROCIENTOS VEINTIOCHO SPA,2022,4410.03,0.0,0.0,4410.03,0.0,4,Construcción
ARRIGONI METALURGICA S.A.,2022,0.0,0.0,770.73,770.73,100.0,1,Otras industrias manufactureras
ASMIN INDUSTRIAL LIMITADA,2022,190.0,0.0,0.0,190.0,0.0,1,Otras actividades
ATCO SABINCO S.A,2022,638.44,0.02,60.42,698.88,8.645260989010989,3,Construcción
AVSA ALTO NUNOA SPA,2022,881.31,0.0,0.0,881.31,0.0,3,Otras actividades
AVSA ALTO SANTA ISABEL SPA,2022,1465.95,0.0,0.315,1466.265,0.021483156182545444,5,Otras actividades
AVSA NELSON SPA,2022,1526.85,0.0,0.0,1526.85,0.0,2,Otras actividades
AVSA NUEVA ZANARTU SPA,2022,1512.93,0.0,0.0,1512.93,0.0,3,Otras actividades
AVSA PDV SPA,2022,1124.04,0.0,0.0,1124.04,0.0,1,Otras actividades
B O PACKAGING S A,2022,192.0,0.0,0.0,192.0,0.0,1,"Industria química, de plástico y caucho"
BANCO CENTRAL DE CHILE,2022,51.035000000000004,0.0,0.0,51.035000000000004,0.0,3,Otras actividades
BASF CHILE S A,2022,9.549999999999999,0.0,0.0,9.549999999999999,0.0,2,"Industria química, de plástico y caucho"
BESALCO DESARROLLOS INMOBILIARIOS S.A.,2022,1485.0,0.0,0.0,1485.0,0.0,4,Construcción
BIO BIO CEMENTOS S.A.,2022,0.0,0.0,15.7,15.7,100.0,1,"Producción de cemento, cal y yeso"
BODENOR FLEX CENTER S A,2022,64.52,0.0,0.0,64.52,0.0,2,Otras actividades
BOTTAI S A,2022,0.0,0.0,47.08,47.08,100.0,1,Otras industrias manufactureras
BOULEVARD MACUL SPA,2022,13284.32,0.0,1.26,13285.58,0.009483966827191586,3,Otras actividades
BREDENMASTER SPA,2022,0.88,0.0,0.0,0.88,0.0,1,Otras industrias manufactureras
CAMILO FERRON CHILE S A,2022,1.47,0.0,0.0,1.47,0.0,1,Otras industrias manufactureras
CAPURATA DEL VERANO SPA,2022,6.76,0.0,0.0,6.76,0.0,1,Otras centrales de generación eléctrica
CARLOS RODRIGO MOLL SILVA,2022,4789.83,0.0,0.0,4789.83,0.0,2,Construcción
CARRERA CAPITAL SPA,2022,892.62,0.0,1115.34,2007.96,55.54592720970537,3,Otras actividades
CEMENTO POLPAICO S A,2022,0.0,71.78,0.0,71.78,0.0,1,"Producción de cemento, cal y yeso"
CEMENTOS BICENTENARIO S.A,2022,29.33,0.0,0.0,29.33,0.0,3,"Producción de cemento, cal y yeso"
CERRILLOS I SPA,2022,135.31,0.0,0.0,135.31,0.0,3,Construcción
CERRILLOS II SPA,2022,763.159,0.0,0.0,763.159,0.0,3,Construcción
CERRILLOS SPA,2022,745.38,0.0,7010.0,7755.38,90.38886553592474,3,Construcción
CERVECERA CCU CHILE LIMITADA,2022,294.97,0.0,511.352,806.322,63.41784051532762,7,Otras industrias manufactureras
CGE DISTRIBUCION S A,2022,141.89,1.705,0.0,143.595,0.0,5,Otras actividades
CHILENA DE MOLDEADOS SPA,2022,238.3,0.0,0.0,238.3,0.0,2,Industria del papel y celulosa
CIA ELECTRO METALURGICA S A,2022,0.0,0.0,586.0,586.0,100.0,1,Otras industrias manufactureras
CIA INDUSTRIAL EL VOLCAN S A,2022,30833.001,0.0,0.0,30833.001,0.0,10,"Producción de cemento, cal y yeso"
CIA MINERA CERRO NEGRO S A,2022,26.39,0.0,25.259999999999998,51.65,48.906098741529526,4,Minería
CIA MINERA DEL PACIFICO S.A.,2022,590.448,0.0,748.38,1338.828,55.89814374960787,6,Minería
CIA MINERA DONA INES DE COLLAHUASI SCM,2022,0.0,660.296,0.0,660.296,0.0,1,Minería
CINTAC S.A.I.C.,2022,0.0,0.0,1473.269,1473.269,100.0,1,Otras industrias manufactureras
