razon_social
ALMAGRO S A
ARRENDAMIENTOS INDEPENDENCIA 4.745 SPA
ATCO SABINCO S.A
CONSORCIO DE SALUD SANTIAGO ORIENTE S.A. SOCIEDAD CONCESIONARIA
CONSTRUCTORA ALMAGRO S A
CONSTRUCTORA BESALCO LTDA
CONSTRUCTORA CONCRETA SPA
CONSTRUCTORA L Y D S A
DESARROLLOS CONSTRUCTIVOS AXIS S A
EBCO S.A.
FUCHS GELLONA Y SILVA S A
FUCHS GELLONA Y SILVA SPA
GUZMAN Y LARRAIN VIVIENDAS ECONOMICAS SPA
I MUNICIPALIDAD LO BARNECHEA
ICAFAL INGENIERIA Y CONSTRUCCION S A
INMOBILIARIA ALTO HIPODROMO S.A.
INMOBILIARIA ERASMO ESCALA SPA
INMOBILIARIA LATADIA SPA
INMOBILIARIA PILARES S.A.
INMOBILIARIA VIVIENDAS 2000 SPA
OBRASCON HUARTE LAIN S A AGENCIA EN CHILE
PLAZA EGANA SPA
RUTA DEL MAIPO SOCIEDAD CONCESIONARIA S.A.
SACYR CHILE S A
SIMONETTI INMOBILIARIA S.A.
SOCIEDAD CONCESIONARIA HOSPITAL BUIN PAINE S.A.
TRANSPORTES Y EXCAVACIONES LTDA
VICENTE VALDES SPA
