empresa,fuentes,n_fuentes
CONSORCIO SANTA MARTA,proveedor_downstream_regemac_materiales_excel,1
CONSTRUCTORA ASFALCURA SPA,competidor_elegido_por_cliente_verde,1
CONSTRUCTORA LAMPA ORIENTE S.A.,lista3_valorizacion,1
CRISTALERIAS DE CHILE S A,lista3_valorizacion,1
CRISTALERIAS TORO SPA,lista3_valorizacion,1
DEMARCO S.A.,competidor_elegido_por_cliente_verde,1
DESARROLLOS CONSTRUCTIVOS AXIS S A,lista2_cliente_verde_pct,1
DIFEZA,proveedor_downstream_regemac_materiales_excel,1
ECO CICLO,proveedor_downstream_regemac_materiales_excel,1
ECOENGRANAJE,proveedor_downstream_regemac_materiales_excel,1
ECOFERRO SPA,competidor_elegido_por_cliente_verde,1
EXXAN SPA,lista3_valorizacion,1
FIERRO,proveedor_downstream_regemac_materiales_excel,1
FIERROS SPA,proveedor_downstream_regemac_materiales_excel,1
FUNDINOX CHILE SA,competidor_elegido_por_cliente_verde,1
GESTION ECOLOGICA DE RESIDUOS S A,competidor_elegido_por_cliente_verde,1
GOMPLAS SPA,lista3_valorizacion,1
GREENDOT SPA,competidor_elegido_por_cliente_verde,1
GREENPLAST SPA,competidor_elegido_por_cliente_verde,1
ICAFAL INGENIERIA Y CONSTRUCCION S A,lista2_cliente_verde_magnitud,1
INDUSTRIA PROCESADORA,proveedor_downstream_regemac_materiales_excel,1
INMOBILIARIA E INVERSIONES DOS M LIMITADA,lista3_valorizacion,1
INPROPLAS,proveedor_downstream_regemac_materiales_excel,1
INTEGRALSTART  SPA,competidor_elegido_por_cliente_verde,1
K D M  S.A.,competidor_elegido_por_cliente_verde,1
LAMPA SPA,competidor_elegido_por_cliente_verde,1
LOS FIERROS SPA,proveedor_downstream_regemac_materiales_excel,1
LOS MAITENES SPA,competidor_elegido_por_cliente_verde,1
LOS OLIVOS SERVICIOS DE MAQUINARIAS Y CONSTRUCCIÓN LIMITADA,lista1_disposicion,1
MAGOTTEAUX ANDINO S.A.,competidor_elegido_por_cliente_verde,1
MARCELO PAOLO JARA VARGAS RECICLAJE INTEGRAL ECOCICLO E.I.R.L.,competidor_elegido_por_cliente_verde,1
MARIO MARCELO LAZO BARAHONA,competidor_elegido_por_cliente_verde,1
MOLYMETNOS S.A.,lista3_valorizacion,1
NOLBERTO ORLANDO SUAREZ,competidor_elegido_por_cliente_verde,1
PLASTICO,proveedor_downstream_regemac_materiales_excel,1
PLASTICOS VND,proveedor_downstream_regemac_materiales_excel,1
POLAMBIENTE,proveedor_downstream_regemac_materiales_excel,1
RECICLADORA 2020 SPA,competidor_elegido_por_cliente_verde,1
RECICLADOS INDUSTRIALES,proveedor_downstream_regemac_materiales_excel,1
RECICLADOS INDUSTRIALES S.A,competidor_elegido_por_cliente_verde,1
RECICLAJES INDUSTRIALES S A,competidor_elegido_por_cliente_verde,1
RECICLAJES RECICLADOS LIMITADA,competidor_elegido_por_cliente_verde,1
RECUPAC,proveedor_downstream_regemac_materiales_excel,1
RECUPAC S.A.,competidor_elegido_por_cliente_verde,1
RECYCLING S.A.,competidor_elegido_por_cliente_verde,1
REMBRE,proveedor_downstream_regemac_materiales_excel,1
REMBRE SPA.,competidor_elegido_por_cliente_verde,1
RESIMEX SOCIEDAD ANONIMA,competidor_elegido_por_cliente_verde,1
RESITER INDUSTRIAL S.A.,competidor_elegido_por_cliente_verde,1
RS CONSTRUCCIONES SPA,proveedor_downstream_regemac_materiales_excel,1
SOCIEDAD COMERCIAL DE TRANSPORTES Y COMPRAVENTA PECH LIMITADA,competidor_elegido_por_cliente_verde,1
SOCIEDAD COMERCIALIZADORA DE DESECHOS METALICOS Y PAPELES RECICLOM LIM,competidor_elegido_por_cliente_verde,1
SOCIEDAD COMERCIALIZADORA DE METALES CHAVARRIA Y CHAVARRIA LIMITADA,competidor_elegido_por_cliente_verde,1
SOCIEDAD DE PROCESAMIENTOS INDUSTRIALES LIMITADA,competidor_elegido_por_cliente_verde,1
SUPERINTENDENCIA DEL MEDIO AMBIENTE,competidor_elegido_por_cliente_verde,1
Sud Trade SPA,proveedor_downstream_regemac_materiales_excel,1
TRANSER SPA,proveedor_downstream_regemac_materiales_excel,1
